Sample#,jitter_arduino,gps_rpi,gps_pure,mote,SampleTime,units
172,10,00,00,00,48,ns
173,00,00,00,00,499.99,ms
174,01,00,00,00,48,ns
175,11,00,00,00,499.99,ms
176,10,00,00,00,48,ns
177,00,00,00,00,499.99,ms
178,01,00,00,00,48,ns
179,11,00,00,00,499.99,ms
180,10,00,00,00,64,ns
181,00,00,00,00,499.99,ms
182,01,00,00,00,40,ns
183,11,00,00,00,499.99,ms
184,10,00,00,00,64,ns
185,00,00,00,00,499.99,ms
186,01,00,00,00,16,ns
187,11,00,00,00,500.01,ms
188,01,00,00,00,32,ns
189,00,00,00,00,499.96,ms
190,01,00,00,00,56,ns
191,11,00,00,00,499.97,ms
192,10,00,00,00,8,ns
193,00,00,00,00,500.00,ms
194,01,00,00,00,16,ns
195,11,00,00,00,499.99,ms
196,10,00,00,00,24,ns
197,00,00,00,00,499.99,ms
198,01,00,00,00,40,ns
199,11,00,00,00,499.99,ms
200,10,00,00,00,8,ns
201,00,00,00,00,499.99,ms
202,01,00,00,00,32,ns
203,11,00,00,00,499.99,ms
204,01,00,00,00,16,ns
205,00,00,00,00,499.99,ms
206,01,00,00,00,24,ns
207,11,00,00,00,499.99,ms
208,01,00,00,00,32,ns
209,00,00,00,00,499.99,ms
210,01,00,00,00,8,ns
211,11,00,00,00,499.99,ms
212,10,00,00,00,24,ns
213,00,00,00,00,499.99,ms
214,01,00,00,00,8,ns
215,11,00,00,00,499.99,ms
216,01,00,00,00,8,ns
217,00,00,00,00,499.99,ms
218,10,00,00,00,8,ns
219,11,00,00,00,499.99,ms
220,01,00,00,00,8,ns
221,00,00,00,00,499.99,ms
222,10,00,00,00,16,ns
223,11,00,00,00,499.99,ms
224,10,00,00,00,8,ns
225,00,00,00,00,499.99,ms
226,01,00,00,00,8,ns
227,11,00,00,00,500.01,ms
228,10,00,00,00,16,ns
229,00,00,00,00,499.96,ms
230,01,00,00,00,8,ns
231,11,00,00,00,499.97,ms
232,10,00,00,00,8,ns
233,00,00,00,00,500.00,ms
234,11,00,00,00,499.99,ms
235,01,00,00,00,40,ns
236,00,00,00,00,499.99,ms
237,11,00,00,00,499.99,ms
238,00,00,00,00,499.99,ms
239,01,00,00,00,24,ns
240,11,00,00,00,499.99,ms
241,01,00,00,00,16,ns
242,00,00,00,00,499.99,ms
243,11,00,00,00,499.99,ms
244,00,00,00,00,499.99,ms
245,11,00,00,00,499.99,ms
246,00,00,00,00,499.99,ms
247,01,00,00,00,8,ns
248,11,00,00,00,499.99,ms
249,10,00,00,00,16,ns
250,00,00,00,00,499.99,ms
251,01,00,00,00,32,ns
252,11,00,00,00,499.99,ms
253,10,00,00,00,32,ns
254,00,00,00,00,499.99,ms
255,11,00,00,00,499.99,ms
256,00,00,00,00,499.99,ms
257,01,00,00,00,16,ns
258,11,00,00,00,500.01,ms
259,10,00,00,00,32,ns
260,00,00,00,00,499.96,ms
261,01,00,00,00,16,ns
262,11,00,00,00,499.97,ms
263,01,00,00,00,8,ns
264,00,00,00,00,500.00,ms
265,01,00,00,00,8,ns
266,11,00,00,00,499.99,ms
267,01,00,00,00,16,ns
268,00,00,00,00,499.99,ms
269,10,00,00,00,8,ns
270,11,00,00,00,499.99,ms
271,10,00,00,00,32,ns
272,00,00,00,00,499.99,ms
273,01,00,00,00,48,ns
274,11,00,00,00,499.99,ms
275,10,00,00,00,8,ns
276,00,00,00,00,499.99,ms
277,01,00,00,00,8,ns
278,11,00,00,00,499.99,ms
279,10,00,00,00,16,ns
280,00,00,00,00,499.99,ms
281,10,00,00,00,24,ns
282,11,00,00,00,499.99,ms
283,00,00,00,00,499.99,ms
284,10,00,00,00,16,ns
285,11,00,00,00,499.99,ms
286,01,00,00,00,8,ns
287,00,00,00,00,499.99,ms
288,01,00,00,00,16,ns
289,11,00,00,00,499.99,ms
290,01,00,00,00,16,ns
291,00,00,00,00,499.99,ms
292,01,00,00,00,8,ns
293,11,00,00,00,499.99,ms
294,10,00,00,00,24,ns
295,00,00,00,00,499.99,ms
296,01,00,00,00,48,ns
297,11,00,00,00,500.01,ms
298,01,00,00,00,24,ns
299,00,00,00,00,499.96,ms
300,01,00,00,00,32,ns
301,11,00,00,00,499.97,ms
302,10,00,00,00,40,ns
303,00,00,00,00,500.00,ms
304,01,00,00,00,24,ns
305,11,00,00,00,499.99,ms
306,10,00,00,00,16,ns
307,00,00,00,00,499.99,ms
308,01,00,00,00,32,ns
309,11,00,00,00,499.99,ms
310,10,00,00,00,56,ns
311,00,00,00,00,499.99,ms
312,01,00,00,00,32,ns
313,11,00,00,00,499.99,ms
314,10,00,00,00,24,ns
315,00,00,00,00,499.99,ms
316,01,00,00,00,16,ns
317,11,00,00,00,499.99,ms
318,10,00,00,00,40,ns
319,00,00,00,00,499.99,ms
320,01,00,00,00,56,ns
321,11,00,00,00,499.99,ms
322,10,00,00,00,40,ns
323,00,00,00,00,499.99,ms
324,01,00,00,00,56,ns
325,11,00,00,00,499.99,ms
326,10,00,00,00,72,ns
327,00,00,00,00,499.99,ms
328,01,00,00,00,48,ns
329,11,00,00,00,499.99,ms
330,10,00,00,00,48,ns
331,00,00,00,00,499.99,ms
332,01,00,00,00,64,ns
333,11,00,00,00,499.99,ms
334,10,00,00,00,48,ns
335,00,00,00,00,499.99,ms
336,01,00,00,00,56,ns
337,11,00,00,00,500.01,ms
338,01,00,00,00,32,ns
339,00,00,00,00,499.96,ms
340,01,00,00,00,64,ns
341,11,00,00,00,499.97,ms
342,10,00,00,00,8,ns
343,00,00,00,00,500.00,ms
344,01,00,00,00,16,ns
345,11,00,00,00,499.99,ms
346,10,00,00,00,8,ns
347,00,00,00,00,499.99,ms
348,01,00,00,00,16,ns
349,11,00,00,00,499.99,ms
350,10,00,00,00,32,ns
351,00,00,00,00,499.99,ms
352,01,00,00,00,8,ns
353,11,00,00,00,499.99,ms
354,10,00,00,00,24,ns
355,00,00,00,00,499.99,ms
356,01,00,00,00,40,ns
357,11,00,00,00,499.99,ms
358,10,00,00,00,24,ns
359,00,00,00,00,499.99,ms
360,01,00,00,00,16,ns
361,11,00,00,00,499.99,ms
362,10,00,00,00,56,ns
363,00,00,00,00,499.99,ms
364,11,00,00,00,499.99,ms
365,00,00,00,00,499.99,ms
366,01,00,00,00,24,ns
367,11,00,00,00,499.99,ms
368,10,00,00,00,16,ns
369,00,00,00,00,499.99,ms
370,01,00,00,00,40,ns
371,11,00,00,00,499.99,ms
372,10,00,00,00,16,ns
373,00,00,00,00,499.99,ms
374,01,00,00,00,56,ns
375,11,00,00,00,500.01,ms
376,00,00,00,00,499.96,ms
377,01,00,00,00,72,ns
378,11,00,00,00,499.97,ms
379,01,00,00,00,8,ns
380,00,00,00,00,500.00,ms
381,10,00,00,00,8,ns
382,11,00,00,00,499.99,ms
383,01,00,00,00,24,ns
384,00,00,00,00,499.99,ms
385,01,00,00,00,8,ns
386,11,00,00,00,499.99,ms
387,10,00,00,00,16,ns
388,00,00,00,00,499.99,ms
389,01,00,00,00,16,ns
390,11,00,00,00,499.99,ms
391,10,00,00,00,8,ns
392,00,00,00,00,499.99,ms
393,01,00,00,00,16,ns
394,11,00,00,00,499.99,ms
395,01,00,00,00,8,ns
396,00,00,00,00,499.99,ms
397,01,00,00,00,8,ns
398,11,00,00,00,499.99,ms
399,10,00,00,00,48,ns
400,00,00,00,00,499.99,ms
401,01,00,00,00,24,ns
402,11,00,00,00,499.99,ms
403,10,00,00,00,56,ns
404,00,00,00,00,499.99,ms
405,01,00,00,00,8,ns
406,11,00,00,00,499.99,ms
407,10,00,00,00,56,ns
408,00,00,00,00,499.99,ms
409,01,00,00,00,32,ns
410,11,00,00,00,499.99,ms
411,10,00,00,00,8,ns
412,00,00,00,00,499.99,ms
413,01,00,00,00,8,ns
414,11,00,00,00,500.01,ms
415,00,00,00,00,499.96,ms
416,01,00,00,00,32,ns
417,11,00,00,00,499.97,ms
418,10,00,00,00,8,ns
419,00,00,00,00,500.00,ms
420,10,00,00,00,16,ns
421,11,00,00,00,499.99,ms
422,10,00,00,00,24,ns
423,00,00,00,00,499.99,ms
424,01,00,00,00,16,ns
425,11,00,00,00,499.99,ms
426,10,00,00,00,32,ns
427,00,00,00,00,499.99,ms
428,01,00,00,00,16,ns
429,11,00,00,00,499.99,ms
430,10,00,00,00,16,ns
431,00,00,00,00,499.99,ms
432,01,00,00,00,16,ns
433,11,00,00,00,499.99,ms
