Sample#,SampleTime,units,arduino,gps
257,499.99,ms,0,0
258,608,ns,1,0
259,399.95,ms,3,0
260,100.00,ms,3,1
261,39.63,us,3,0
262,760,ns,2,0
263,499.99,ms,0,0
264,896,ns,1,0
265,399.95,ms,3,0
266,100.00,ms,3,1
267,47.56,us,3,0
268,1.06,us,2,0
269,499.99,ms,0,0
270,1.21,us,1,0
271,399.94,ms,3,0
272,100.00,ms,3,1
273,55.51,us,3,0
274,1.30,us,2,0
275,499.99,ms,0,0
276,1.44,us,1,0
277,399.93,ms,3,0
278,100.00,ms,3,1
279,63.46,us,3,0
280,1.58,us,2,0
281,499.99,ms,0,0
282,1.71,us,1,0
283,399.92,ms,3,0
284,100.00,ms,3,1
285,71.38,us,3,0
286,1.86,us,2,0
287,499.99,ms,0,0
288,2.02,us,1,0
289,399.91,ms,3,0
290,100.00,ms,3,1
291,79.34,us,3,0
292,2.14,us,2,0
293,499.99,ms,0,0
294,2.31,us,1,0
295,399.90,ms,3,0
296,100.00,ms,3,1
297,87.24,us,3,0
298,2.46,us,2,0
299,499.99,ms,0,0
300,2.59,us,1,0
301,399.90,ms,3,0
302,100.00,ms,3,1
303,2.53,us,3,0
304,8,ns,1,0
305,500.01,ms,0,0
306,112,ns,1,0
307,399.97,ms,3,0
308,100.00,ms,3,1
309,23.74,us,3,0
310,272,ns,2,0
311,499.99,ms,0,0
312,408,ns,1,0
313,399.96,ms,3,0
314,100.00,ms,3,1
315,31.66,us,3,0
316,568,ns,2,0
317,499.99,ms,0,0
318,720,ns,1,0
319,399.95,ms,3,0
320,100.00,ms,3,1
321,39.58,us,3,0
322,864,ns,2,0
323,499.99,ms,0,0
324,1.01,us,1,0
325,399.95,ms,3,0
326,100.00,ms,3,1
327,47.54,us,3,0
328,1.18,us,2,0
329,499.99,ms,0,0
330,1.31,us,1,0
331,399.94,ms,3,0
332,100.00,ms,3,1
333,55.48,us,3,0
334,1.43,us,2,0
335,499.99,ms,0,0
336,1.58,us,1,0
337,399.93,ms,3,0
338,100.00,ms,3,1
339,63.44,us,3,0
340,1.72,us,2,0
341,499.99,ms,0,0
342,1.86,us,1,0
343,399.92,ms,3,0
344,100.00,ms,3,1
345,71.39,us,3,0
346,2.00,us,2,0
347,499.99,ms,0,0
348,2.10,us,1,0
349,399.91,ms,3,0
350,100.00,ms,3,1
351,79.34,us,3,0
352,2.30,us,2,0
353,499.99,ms,0,0
354,2.41,us,1,0
355,399.90,ms,3,0
356,100.00,ms,3,1
357,87.28,us,3,0
358,2.63,us,2,0
359,499.99,ms,0,0
360,2.74,us,1,0
361,399.90,ms,3,0
362,100.00,ms,3,1
363,2.52,us,3,0
364,16,ns,1,0
365,500.01,ms,0,0
366,152,ns,1,0
367,399.97,ms,3,0
368,100.00,ms,3,1
369,23.73,us,3,0
370,272,ns,2,0
371,499.99,ms,0,0
372,432,ns,1,0
373,399.96,ms,3,0
374,100.00,ms,3,1
375,31.70,us,3,0
376,584,ns,2,0
