Sample#,Sync,SampleTime,units
297,0,498.51,ms
298,1,1.48,ms
299,3,498.54,ms
300,2,1.46,ms
301,0,498.49,ms
302,1,1.49,ms
303,3,498.50,ms
304,2,1.55,ms
305,0,498.42,ms
306,1,1.51,ms
307,3,498.46,ms
308,2,1.56,ms
309,0,498.47,ms
310,1,1.49,ms
311,3,498.45,ms
312,2,1.57,ms
313,0,498.44,ms
314,1,1.52,ms
315,3,498.45,ms
316,2,1.59,ms
317,0,498.42,ms
318,1,1.53,ms
319,3,498.42,ms
320,2,1.57,ms
321,0,498.43,ms
322,1,1.58,ms
323,3,498.40,ms
324,2,1.58,ms
325,0,498.40,ms
326,1,1.69,ms
327,3,498.35,ms
328,2,1.55,ms
329,0,498.38,ms
330,1,1.64,ms
331,3,498.38,ms
332,2,1.58,ms
333,0,498.36,ms
334,1,1.67,ms
335,3,498.35,ms
336,2,1.61,ms
337,0,498.35,ms
338,1,1.63,ms
339,3,498.39,ms
340,2,1.62,ms
341,0,498.33,ms
342,1,1.65,ms
343,3,498.33,ms
344,2,1.71,ms
345,0,498.33,ms
346,1,1.62,ms
347,3,498.31,ms
348,2,1.72,ms
349,0,498.29,ms
350,1,1.66,ms
351,3,498.29,ms
352,2,1.74,ms
353,0,498.27,ms
354,1,1.68,ms
355,3,498.27,ms
356,2,1.75,ms
357,0,498.24,ms
358,1,1.72,ms
359,3,498.26,ms
360,2,1.72,ms
361,0,498.25,ms
362,1,1.75,ms
363,3,498.29,ms
364,2,1.70,ms
365,0,498.24,ms
366,1,1.80,ms
367,3,498.22,ms
368,2,1.73,ms
369,0,498.22,ms
370,1,1.81,ms
371,3,498.20,ms
372,2,1.75,ms
373,0,498.20,ms
374,1,1.82,ms
375,3,498.19,ms
376,2,1.76,ms
377,0,498.19,ms
378,1,1.80,ms
379,3,498.18,ms
380,2,1.82,ms
381,0,498.21,ms
382,1,1.78,ms
383,3,498.16,ms
384,2,1.87,ms
385,0,498.14,ms
386,1,1.81,ms
387,3,498.15,ms
388,2,1.89,ms
389,0,498.12,ms
390,1,1.82,ms
391,3,498.13,ms
392,2,1.89,ms
393,0,498.13,ms
394,1,1.83,ms
395,3,498.11,ms
396,2,1.87,ms
397,0,498.11,ms
398,1,1.90,ms
399,3,498.10,ms
400,2,1.89,ms
401,0,498.09,ms
402,1,1.91,ms
403,3,498.14,ms
404,2,1.85,ms
405,0,498.07,ms
406,1,1.96,ms
407,3,498.06,ms
408,2,1.89,ms
409,0,498.06,ms
410,1,1.97,ms
411,3,498.05,ms
412,2,1.91,ms
413,0,498.04,ms
414,1,1.98,ms
415,3,497.99,ms
416,2,1.96,ms
417,0,498.03,ms
418,1,1.97,ms
419,3,498.01,ms
420,2,1.98,ms
421,0,498.06,ms
422,1,1.92,ms
423,3,498.00,ms
424,2,2.04,ms
425,0,497.98,ms
426,1,1.97,ms
427,3,497.98,ms
428,2,2.04,ms
429,0,497.98,ms
430,1,1.98,ms
431,3,497.97,ms
432,2,2.10,ms
433,0,497.92,ms
434,1,2.00,ms
435,3,497.95,ms
436,2,2.03,ms
437,0,497.94,ms
438,1,2.06,ms
439,3,497.99,ms
440,2,2.00,ms
441,0,497.93,ms
442,1,2.10,ms
443,3,497.91,ms
444,2,2.04,ms
445,0,497.91,ms
446,1,2.11,ms
447,3,497.91,ms
448,2,2.05,ms
449,0,497.89,ms
450,1,2.13,ms
451,3,497.89,ms
452,2,2.07,ms
453,0,497.88,ms
454,1,2.15,ms
455,3,497.82,ms
456,2,2.13,ms
457,0,497.91,ms
458,1,2.08,ms
459,3,497.86,ms
460,2,2.18,ms
461,0,497.83,ms
462,1,2.11,ms
463,3,497.84,ms
464,2,2.19,ms
465,0,497.83,ms
466,1,2.13,ms
467,3,497.82,ms
468,2,2.19,ms
469,0,497.79,ms
470,1,2.17,ms
471,3,497.81,ms
472,2,2.22,ms
473,0,497.75,ms
474,1,2.20,ms
475,3,497.80,ms
476,2,2.19,ms
477,0,497.79,ms
478,1,2.25,ms
479,3,497.77,ms
480,2,2.18,ms
481,0,497.77,ms
482,1,2.26,ms
483,3,497.76,ms
484,2,2.20,ms
485,0,497.75,ms
486,1,2.27,ms
487,3,497.74,ms
488,2,2.22,ms
489,0,497.73,ms
490,1,2.30,ms
491,3,497.72,ms
492,2,2.23,ms
493,0,497.72,ms
494,1,2.26,ms
495,3,497.71,ms
496,2,2.29,ms
497,0,497.70,ms
498,1,2.28,ms
499,3,497.70,ms
500,2,2.34,ms
501,0,497.68,ms
