Sample#,gps_arduino,gps_rpi,gps_pure,mote,SampleTime,units
0,01,00,00,00,8,ns
1,11,00,00,00,499.99,ms
2,10,00,00,00,120,ns
3,00,00,00,00,499.99,ms
4,01,00,00,00,120,ns
5,11,00,00,00,499.99,ms
6,10,00,00,00,144,ns
7,00,00,00,00,499.99,ms
8,01,00,00,00,152,ns
9,11,00,00,00,499.99,ms
10,10,00,00,00,176,ns
11,00,00,00,00,499.99,ms
12,01,00,00,00,160,ns
13,11,00,00,00,499.99,ms
14,10,00,00,00,200,ns
15,00,00,00,00,499.99,ms
16,01,00,00,00,208,ns
17,11,00,00,00,499.99,ms
18,10,00,00,00,272,ns
19,00,00,00,00,499.99,ms
20,01,00,00,00,296,ns
21,11,00,00,00,499.99,ms
22,10,00,00,00,280,ns
23,00,00,00,00,499.99,ms
24,01,00,00,00,296,ns
25,11,00,00,00,499.99,ms
26,10,00,00,00,296,ns
27,00,00,00,00,499.99,ms
28,01,00,00,00,296,ns
29,11,00,00,00,500.03,ms
30,10,00,00,00,40,ns
31,00,00,00,00,499.94,ms
32,01,00,00,00,360,ns
33,11,00,00,00,499.98,ms
34,10,00,00,00,48,ns
35,00,00,00,00,499.99,ms
36,01,00,00,00,40,ns
37,11,00,00,00,499.99,ms
38,10,00,00,00,80,ns
39,00,00,00,00,499.99,ms
40,01,00,00,00,96,ns
41,11,00,00,00,499.99,ms
42,10,00,00,00,152,ns
43,00,00,00,00,499.99,ms
44,01,00,00,00,112,ns
45,11,00,00,00,499.99,ms
46,10,00,00,00,136,ns
47,00,00,00,00,499.99,ms
48,01,00,00,00,128,ns
49,11,00,00,00,499.99,ms
50,10,00,00,00,200,ns
51,00,00,00,00,499.99,ms
52,01,00,00,00,200,ns
53,11,00,00,00,499.99,ms
54,10,00,00,00,216,ns
55,00,00,00,00,499.99,ms
56,01,00,00,00,232,ns
57,11,00,00,00,499.99,ms
58,10,00,00,00,216,ns
59,00,00,00,00,499.99,ms
60,01,00,00,00,264,ns
61,11,00,00,00,499.99,ms
62,10,00,00,00,264,ns
63,00,00,00,00,499.99,ms
