network_time,instant_drift_coefficient,ema_drift_coefficient,drift_coefficient
1026682216.834419,0.9994085583489989,0.9997634233395996,0.9996214773433593
1026682221.859112,0.999460263277642,0.9996421593148166,0.9995694008999467
1026682226.883957,0.9994825564147193,0.9995783181547777,0.9995400134587544
1026682231.908296,0.9994998482699092,0.9995469302008304,0.9995280974284619
1026682236.932593,0.9994954309524093,0.9995263305014619,0.9995139706818408
1026682241.956891,0.9994922991427168,0.9995127179579638,0.999504550431865
1026682246.981097,0.9995223044981985,0.9995165525740577,0.999518853343714
1026682252.006615,0.9995130832169887,0.9995151648312302,0.9995143321855335
1026682257.030577,0.9995055766713624,0.9995113295672831,0.9995090284089148
1026682262.054814,0.9995199347606691,0.9995147716446375,0.9995168368910502
1026682267.079107,0.9995103545759378,0.9995130048171577,0.9995119447206697
1026682272.101726,0.9995235538920739,0.9995172244471242,0.9995197562251041
1026682277.126085,0.9995141809295942,0.9995160070401122,0.999515276595905
1026682282.150372,0.9995314469382639,0.9995221829993728,0.9995258885749292
1026682287.174605,0.9995177515019639,0.9995204104004092,0.999519346841031
1026682292.198871,0.9995169242366846,0.9995190159349193,0.9995181792556255
1026682297.22313,0.9995145746131135,0.9995172394061971,0.9995161734889637
1026682302.236593,1.0014544900824558,1.0002921396767006,1.0007570798390026
1026682307.223166,1.0071937145434353,1.0030527696233946,1.004709147591411
1026682312.225613,1.0039364861428486,1.0034062562311763,1.0036183481958452
1026682317.236367,1.0022625183096117,1.0029487610625505,1.0026742639613748
1026682322.251259,1.0014172067233205,1.0023361393268584,1.0019685662854432
1026682327.268412,1.0009748394572853,1.0017916193790293,1.0014649074103317
1026682332.28657,1.0007538598078267,1.0013765155505483,1.0011274532534598
1026682337.309152,0.9998631934057892,1.0007711866926448,1.0004079893779025
1026682342.331246,0.9998467066545975,1.000401394677426,1.0001795194682945
1026682347.353144,1.0000037505874535,1.000242337041437,1.0001469024598437
1026682352.374508,1.000104790213743,1.0001873183103593,1.0001543070717127
1026682357.395384,1.000210503022924,1.0001965921953853,1.0002021565264008
1026682362.413818,1.0002658103977047,1.000224279476313,1.0002408918448698
1026682367.434217,1.0003063815188615,1.0002571202933324,1.000276824783544
1026682372.452561,1.0003233728186438,1.000283621303457,1.0002995219095316
1026682377.472675,1.0003695404097022,1.000317988945955,1.000338609531454
1026682382.492698,1.0003758874906927,1.00034114836385,1.0003550440145872
1026682387.51272,1.0003667213103504,1.0003513775424502,1.0003575150496102
1026682392.531157,1.000394534608909,1.0003686403690337,1.0003789980649838
1026682397.551308,1.0003671393188638,1.0003680399489658,1.000367679696925
1026682402.57118,0.9995748726814686,1.000050773041967,0.9998604128977677
1026682407.594592,0.9997173668730339,0.9999174105743938,0.9998373930938498
1026682412.614861,0.9998013680741245,0.999870993574286,0.9998431433742214
1026682417.637384,0.9998723772207508,0.9998715470328718,0.9998718791080234
1026682422.659606,0.9999263460613337,0.9998934666442565,0.9999066184110874
1026682427.681522,0.9999989792741618,0.9999356716962187,0.999960994727396
1026682432.698322,1.0000384707060306,0.9999767913001434,1.0000014630624983
1026682437.720668,0.9999193695606349,0.9999538226043401,0.999940041386858
1026682442.740908,1.0002860411220087,1.0000867100114075,1.000166442455648
1026682447.762034,1.0001507588106417,1.0001123295311012,1.0001277012429175
1026682452.783126,1.0001718899528234,1.0001361536997901,1.0001504482010035
1026682457.805471,1.000190574601293,1.0001579220603913,1.0001709830767518
1026682462.826291,1.0002053056517273,1.0001768754969258,1.0001882475588464
1026682467.847047,1.0002354385103989,1.000200300702315,1.0002143558255487
1026682472.867776,1.0002308335498733,1.0002125138413382,1.000219841724752
1026682477.888474,1.0002607281340663,1.0002317995584296,1.0002433709886844
1026682482.908981,1.0002672915262032,1.000245996345539,1.0002545144178048
1026682487.929646,1.000252182101738,1.0002484706480186,1.0002499552295063
1026682492.950189,1.0002941681595698,1.0002667496526392,1.0002777170554114
1026682497.970734,1.000277665757482,1.0002711160945763,1.0002737359597385
1026682502.991311,1.0002882063893965,1.0002779522125045,1.0002820538832613
1026682508.011758,1.0003041703247442,1.0002884394574003,1.0002947318043378
1026682513.03068,1.000292885555474,1.0002902178966298,1.0002912849601675
1026682518.051004,1.0003035366471646,1.0002955453968436,1.000298741896972
1026682523.068982,1.0003077409170222,1.0003004236049151,1.000303350529758
