Sample#,mote,SampleTime,units,gps_pure,gps_rpi,pps_mirror
0,01,8,ns,00,11,
1,00,38.48,ms,00,11,
2,00,60.02,us,00,10,
3,00,399.61,ms,00,00,
4,00,24,ns,01,00,
5,00,61.83,ms,11,00,
6,10,8.30,us,11,00,
7,11,38.16,ms,11,00,
8,11,24,ns,10,00,
9,11,141.31,us,00,00,
10,11,2.18,us,00,00,1
11,11,50.78,us,00,00,3
12,11,3.26,us,00,00,2
13,11,116.46,us,00,00,
14,11,66.29,us,00,01,
15,11,461.40,ms,00,11,
16,01,68.47,us,00,11,
17,00,38.46,ms,00,11,
18,00,78.43,us,00,10,
19,00,399.60,ms,00,00,
20,00,32,ns,01,00,
21,00,61.80,ms,11,00,
22,10,42.17,us,11,00,
23,11,38.15,ms,11,00,
24,11,24,ns,10,00,
25,11,151.44,us,00,00,
26,11,4.50,us,00,00,2
27,11,54.02,us,00,00,3
28,11,3.61,us,00,00,1
29,11,108.50,us,00,00,
30,11,76.86,us,00,01,
31,11,461.39,ms,00,11,
32,01,97.14,us,00,11,
33,00,38.41,ms,00,11,
34,00,78.50,us,00,10,
35,00,399.60,ms,00,00,
36,00,32,ns,01,00,
37,00,61.80,ms,11,00,
38,10,55.58,us,11,00,
39,11,38.14,ms,11,00,
40,11,32,ns,10,00,
41,11,137.65,us,00,00,
42,11,5.89,us,00,00,1
43,11,45.92,us,00,00,3
44,11,7.67,us,00,00,2
45,11,112.43,us,00,00,
46,11,79.18,us,00,01,
47,11,461.42,ms,00,11,
48,01,92.37,us,00,11,
49,00,38.40,ms,00,11,
50,00,143.98,us,00,10,
51,00,399.53,ms,00,00,
52,00,32,ns,01,00,
53,00,61.82,ms,11,00,
54,10,52.59,us,11,00,
55,11,38.12,ms,11,00,
56,11,32,ns,10,00,
57,11,140.12,us,00,00,
58,11,17.54,us,00,00,1
59,11,33.38,us,00,00,3
60,11,27.35,us,00,00,2
61,11,88.06,us,00,00,
62,11,88.13,us,00,01,
63,11,461.41,ms,00,11,
64,01,84.88,us,00,11,
65,00,38.40,ms,00,11,
66,00,88.72,us,00,10,
67,00,399.60,ms,00,00,
68,00,24,ns,01,00,
69,00,61.83,ms,11,00,
70,10,54.11,us,11,00,
71,11,38.11,ms,11,00,
72,11,32,ns,10,00,
73,11,132.83,us,00,00,
74,11,32.11,us,00,00,2
75,11,18.29,us,00,00,3
76,11,41.73,us,00,00,1
77,11,91.06,us,00,00,
78,11,78.55,us,00,01,
79,11,461.43,ms,00,11,
80,01,72.94,us,00,11,
81,00,38.40,ms,00,11,
82,00,155.66,us,00,10,
83,00,399.53,ms,00,00,
84,00,32,ns,01,00,
85,00,61.84,ms,11,00,
86,10,55.12,us,11,00,
87,11,38.10,ms,11,00,
88,11,32,ns,10,00,
89,11,138.35,us,00,00,
90,11,9.94,us,00,00,1
91,11,39.58,us,00,00,3
92,11,115.43,us,00,00,2
93,11,135.71,us,00,01,2
94,11,18.85,us,00,01,
95,11,461.38,ms,00,11,
96,01,65.80,us,00,11,
97,00,38.40,ms,00,11,
98,00,15.49,us,00,10,
99,00,399.66,ms,00,00,
100,00,32,ns,01,00,
101,00,61.86,ms,11,00,
102,10,58.30,us,11,00,
103,11,38.08,ms,11,00,
104,11,24,ns,10,00,
105,11,135.03,us,00,00,
106,11,5.34,us,00,00,2
107,11,43.74,us,00,00,3
108,11,7.70,us,00,00,1
109,11,109.96,us,00,00,
110,11,16.33,us,00,01,
111,11,461.53,ms,00,11,
112,01,84.11,us,00,11,
113,00,38.35,ms,00,11,
114,00,26.18,us,00,10,
115,00,399.66,ms,00,00,
116,00,32,ns,01,00,
117,00,61.87,ms,11,00,
118,10,62.20,us,11,00,
119,11,38.06,ms,11,00,
120,11,32,ns,10,00,
121,11,141.08,us,00,00,
122,11,27.81,us,00,00,2
123,11,24.66,us,00,00,3
124,11,119.09,us,00,00,1
125,11,8.06,us,00,01,1
126,11,155.57,us,00,11,1
127,11,461.39,ms,00,11,
128,01,81.64,us,00,11,
129,00,38.37,ms,00,11,
130,00,11.70,us,00,01,
131,00,399.65,ms,00,00,
132,00,24,ns,01,00,
133,00,61.88,ms,11,00,
134,10,69.74,us,11,00,
135,11,38.05,ms,11,00,
136,11,24,ns,10,00,
137,11,137.93,us,00,00,
138,11,17.02,us,00,00,2
139,11,38.10,us,00,00,3
140,11,20.37,us,00,00,1
141,11,101.45,us,00,00,
142,11,29.36,us,00,10,
143,11,461.54,ms,00,11,
144,01,71.82,us,00,11,
145,00,38.35,ms,00,11,
146,00,43.10,us,00,01,
147,00,399.63,ms,00,00,
148,00,16,ns,01,00,
149,00,61.89,ms,11,00,
150,10,69.01,us,11,00,
151,11,38.03,ms,11,00,
152,11,24,ns,10,00,
153,11,136.66,us,00,00,
154,11,15.26,us,00,00,2
155,11,36.52,us,00,00,3
156,11,21.34,us,00,00,1
157,11,105.36,us,00,00,
158,11,23.70,us,00,10,
159,11,461.55,ms,00,11,
160,01,68.74,us,00,11,
161,00,38.34,ms,00,11,
162,00,28.42,us,00,01,
163,00,399.64,ms,00,00,
164,00,24,ns,01,00,
165,00,61.91,ms,11,00,
166,10,62.22,us,11,00,
167,11,38.03,ms,11,00,
168,11,24,ns,10,00,
169,11,155.90,us,00,00,
170,11,9.41,us,00,00,2
171,11,49.73,us,00,00,3
172,11,9.50,us,00,00,1
173,11,90.56,us,00,00,
174,11,34.40,us,00,10,
175,11,461.55,ms,00,11,
176,01,111.53,us,00,11,
177,00,38.31,ms,00,11,
178,00,36.96,us,00,10,
179,00,399.61,ms,00,00,
180,00,16,ns,01,00,
181,00,61.92,ms,11,00,
182,10,70.60,us,11,00,
183,11,38.01,ms,11,00,
184,11,24,ns,10,00,
185,11,138.12,us,00,00,
186,11,472,ns,00,00,1
187,11,48.19,us,00,00,3
188,11,2.38,us,00,00,2
189,11,123.70,us,00,00,
190,11,21.57,us,00,10,
191,11,461.59,ms,00,11,
192,01,81.39,us,00,11,
193,00,38.33,ms,00,11,
194,00,32.96,us,00,10,
195,00,399.61,ms,00,00,
196,00,24,ns,01,00,
197,00,61.93,ms,11,00,
198,10,73.20,us,11,00,
199,11,37.99,ms,11,00,
200,11,24,ns,10,00,
201,11,140.34,us,00,00,
202,11,368,ns,00,00,2
203,11,51.56,us,00,00,3
204,11,184,ns,00,00,2
205,11,144.82,us,00,00,
206,11,29.98,us,00,01,
207,11,461.56,ms,00,11,
208,01,83.26,us,00,11,
209,00,38.31,ms,00,11,
210,00,37.16,us,00,10,
211,00,399.62,ms,00,00,
212,00,32,ns,01,00,
213,00,61.95,ms,11,00,
214,10,69.94,us,11,00,
215,11,37.98,ms,11,00,
216,11,24,ns,10,00,
217,11,154.41,us,00,00,
218,11,52.74,us,00,00,2
219,11,6.42,us,00,00,3
220,11,53.18,us,00,00,1
221,11,75.67,us,00,00,
222,11,23.26,us,00,01,
223,11,461.58,ms,00,11,
224,01,83.70,us,00,11,
225,00,38.30,ms,00,11,
226,00,36.56,us,00,10,
227,00,399.62,ms,00,00,
228,00,24,ns,01,00,
229,00,61.96,ms,11,00,
230,10,71.54,us,11,00,
231,11,37.97,ms,11,00,
232,11,24,ns,10,00,
233,11,137.94,us,00,00,
234,11,664,ns,00,00,2
235,11,51.44,us,00,00,3
236,11,1.09,us,00,00,2
237,11,143.51,us,00,00,
238,11,30.99,us,00,01,
239,11,461.59,ms,00,11,
240,01,103.66,us,00,11,
241,00,38.27,ms,00,11,
242,00,30.82,us,00,10,
243,00,399.62,ms,00,00,
244,00,24,ns,01,00,
245,00,61.97,ms,11,00,
246,10,73.62,us,11,00,
247,11,37.95,ms,11,00,
248,11,32,ns,10,00,
249,11,138.72,us,00,00,
250,11,13.87,us,00,00,2
251,11,53.87,us,00,00,3
252,11,126.92,us,00,00,2
253,11,31.30,us,00,01,2
254,11,55.51,us,00,11,2
255,11,461.55,ms,00,11,
256,01,86.08,us,00,11,
257,00,38.26,ms,00,11,
258,00,13.00,us,00,01,
259,00,399.66,ms,00,00,
260,00,16,ns,01,00,
261,00,61.99,ms,11,00,
262,10,72.90,us,11,00,
263,11,37.94,ms,11,00,
264,11,24,ns,10,00,
265,11,138.29,us,00,00,
266,11,24.18,us,00,00,2
267,11,25.81,us,00,00,3
268,11,35.10,us,00,00,1
269,11,115.75,us,00,00,
270,11,23.19,us,00,01,
271,11,461.62,ms,00,11,
272,01,89.67,us,00,11,
273,00,38.23,ms,00,11,
274,00,15.76,us,00,01,
275,00,399.66,ms,00,00,
276,00,32,ns,01,00,
277,00,62.00,ms,11,00,
278,10,12.14,us,11,00,
279,11,37.99,ms,11,00,
280,11,32,ns,10,00,
281,11,136.89,us,00,00,
282,11,18.50,us,00,00,2
283,11,34.98,us,00,00,3
284,11,123.76,us,00,00,1
285,11,20.62,us,00,10,1
286,11,96.95,us,00,11,1
287,11,461.57,ms,00,11,
288,01,20.82,us,00,11,
289,00,38.28,ms,00,11,
290,00,19.23,us,00,01,
291,00,399.66,ms,00,00,
292,00,24,ns,01,00,
293,00,62.01,ms,11,00,
294,10,8.62,us,11,00,
295,11,37.98,ms,11,00,
296,11,24,ns,10,00,
297,11,137.73,us,00,00,
298,11,8.32,us,00,00,2
299,11,45.70,us,00,00,3
300,11,7.35,us,00,00,1
301,11,107.85,us,00,00,
302,11,19.25,us,00,10,
303,11,461.68,ms,00,11,
304,01,10.18,us,00,11,
305,00,38.28,ms,00,11,
306,00,40.12,us,00,01,
307,00,399.64,ms,00,00,
308,00,24,ns,01,00,
309,00,62.03,ms,11,00,
310,10,4.88,us,11,00,
311,11,37.97,ms,11,00,
312,11,16,ns,10,00,
313,11,155.97,us,00,00,
314,11,7.88,us,00,00,2
315,11,51.02,us,00,00,3
316,11,7.62,us,00,00,1
317,11,84.24,us,00,00,
318,11,24.68,us,00,10,
319,11,461.69,ms,00,11,
320,01,14.06,us,00,11,
321,00,38.26,ms,00,11,
322,00,16.38,us,00,01,
323,00,399.67,ms,00,00,
324,00,24,ns,01,00,
325,00,62.04,ms,11,00,
326,10,5.80,us,11,00,
327,11,37.95,ms,11,00,
328,11,24,ns,10,00,
329,11,138.14,us,00,00,
330,11,4.37,us,00,00,1
331,11,48.70,us,00,00,3
332,11,5.58,us,00,00,2
333,11,108.47,us,00,00,
334,11,17.22,us,00,10,
335,11,461.73,ms,00,11,
336,10,10.66,us,00,11,
337,00,38.25,ms,00,11,
338,00,4.91,us,00,01,
339,00,399.66,ms,00,00,
340,00,24,ns,01,00,
341,00,62.06,ms,11,00,
342,01,13.52,us,11,00,
343,11,37.92,ms,11,00,
344,11,32,ns,10,00,
345,11,136.94,us,00,00,
346,11,2.78,us,00,00,2
347,11,47.81,us,00,00,3
348,11,4.54,us,00,00,1
349,11,113.68,us,00,00,
350,11,15.18,us,00,10,
351,11,461.74,ms,00,11,
352,10,5.53,us,00,11,
353,00,38.23,ms,00,11,
354,00,17.33,us,00,01,
355,00,399.67,ms,00,00,
356,00,32,ns,01,00,
357,00,62.07,ms,11,00,
358,01,16.26,us,11,00,
359,11,37.91,ms,11,00,
360,11,32,ns,10,00,
361,11,153.33,us,00,00,
362,11,2.57,us,00,00,2
363,11,56.83,us,00,00,3
364,11,1.92,us,00,00,1
365,11,92.98,us,00,00,
366,11,12.72,us,00,10,
367,11,461.76,ms,00,11,
368,01,49.48,us,00,11,
369,00,38.17,ms,00,11,
370,00,6.24,us,00,01,
371,00,399.67,ms,00,00,
372,00,32,ns,01,00,
373,00,62.09,ms,11,00,
374,10,54.92,us,11,00,
375,11,37.85,ms,11,00,
376,11,24,ns,10,00,
377,11,136.38,us,00,00,
378,11,2.24,us,00,00,2
379,11,53.22,us,00,00,3
380,11,272,ns,00,00,2
381,11,113.94,us,00,00,
382,11,11.60,us,00,10,
383,11,461.78,ms,00,11,
384,01,45.05,us,00,11,
385,00,38.16,ms,00,11,
386,00,14.40,us,00,01,
387,00,399.67,ms,00,00,
388,00,32,ns,01,00,
389,00,62.11,ms,11,00,
390,10,57.58,us,11,00,
