Sample#,SampleTime,units,arduino,gps
0,8,ns,3,1
1,123.08,us,3,0
2,64,ns,1,0
3,499.99,ms,0,0
4,72,ns,2,0
5,399.87,ms,3,0
6,100.00,ms,3,1
7,123.05,us,3,0
8,88,ns,1,0
9,499.99,ms,0,0
10,64,ns,2,0
11,399.87,ms,3,0
12,100.00,ms,3,1
13,123.01,us,3,0
14,96,ns,1,0
15,499.99,ms,0,0
16,128,ns,2,0
17,399.87,ms,3,0
18,100.00,ms,3,1
19,122.97,us,3,0
20,128,ns,1,0
21,499.99,ms,0,0
22,128,ns,2,0
23,399.87,ms,3,0
24,100.00,ms,3,1
25,122.94,us,3,0
26,128,ns,1,0
27,499.99,ms,0,0
28,112,ns,2,0
29,399.87,ms,3,0
30,100.00,ms,3,1
31,122.58,us,3,0
32,40,ns,1,0
33,499.99,ms,0,0
34,56,ns,2,0
35,399.87,ms,3,0
36,100.00,ms,3,1
37,123.25,us,3,0
38,32,ns,1,0
39,499.99,ms,0,0
40,96,ns,2,0
41,399.87,ms,3,0
42,100.00,ms,3,1
43,123.20,us,3,0
44,64,ns,1,0
45,499.99,ms,0,0
46,104,ns,2,0
47,399.87,ms,3,0
48,100.00,ms,3,1
49,123.18,us,3,0
50,96,ns,1,0
51,499.99,ms,0,0
52,72,ns,2,0
53,399.87,ms,3,0
54,100.00,ms,3,1
55,123.10,us,3,0
56,120,ns,1,0
57,499.99,ms,0,0
58,168,ns,2,0
59,399.87,ms,3,0
60,100.00,ms,3,1
61,123.06,us,3,0
62,168,ns,1,0
63,499.99,ms,0,0
64,168,ns,2,0
65,399.87,ms,3,0
66,100.00,ms,3,1
67,123.06,us,3,0
68,152,ns,1,0
69,499.99,ms,0,0
70,184,ns,2,0
71,399.87,ms,3,0
72,100.00,ms,3,1
73,123.02,us,3,0
74,160,ns,1,0
75,499.99,ms,0,0
76,208,ns,2,0
77,399.87,ms,3,0
78,100.00,ms,3,1
79,122.98,us,3,0
80,200,ns,1,0
81,499.99,ms,0,0
82,232,ns,2,0
83,399.87,ms,3,0
84,100.00,ms,3,1
85,122.90,us,3,0
86,248,ns,1,0
87,499.99,ms,0,0
88,248,ns,2,0
89,399.87,ms,3,0
90,100.00,ms,3,1
91,122.58,us,3,0
92,16,ns,1,0
93,499.99,ms,0,0
94,24,ns,2,0
95,399.87,ms,3,0
96,100.00,ms,3,1
97,123.23,us,3,0
98,8,ns,1,0
99,499.99,ms,0,0
100,40,ns,2,0
101,399.87,ms,3,0
102,100.00,ms,3,1
103,123.18,us,3,0
104,48,ns,1,0
105,499.99,ms,0,0
106,56,ns,2,0
107,399.87,ms,3,0
108,100.00,ms,3,1
109,123.14,us,3,0
110,88,ns,1,0
111,499.99,ms,0,0
112,96,ns,2,0
113,399.87,ms,3,0
114,100.00,ms,3,1
115,123.12,us,3,0
116,56,ns,1,0
117,499.99,ms,0,0
118,128,ns,2,0
119,399.87,ms,3,0
120,100.00,ms,3,1
121,123.07,us,3,0
122,88,ns,1,0
123,499.99,ms,0,0
124,112,ns,2,0
125,399.87,ms,3,0
126,100.00,ms,3,1
127,123.02,us,3,0
128,112,ns,1,0
129,499.99,ms,0,0
130,144,ns,2,0
131,399.87,ms,3,0
132,100.00,ms,3,1
133,122.98,us,3,0
134,144,ns,1,0
135,499.99,ms,0,0
136,176,ns,2,0
137,399.87,ms,3,0
138,100.00,ms,3,1
139,122.94,us,3,0
140,160,ns,1,0
141,499.99,ms,0,0
142,200,ns,2,0
143,399.87,ms,3,0
144,100.00,ms,3,1
145,122.92,us,3,0
146,160,ns,1,0
147,499.99,ms,0,0
148,176,ns,2,0
149,399.87,ms,3,0
150,100.00,ms,3,1
151,122.59,us,3,0
152,16,ns,1,0
153,499.99,ms,0,0
154,24,ns,2,0
155,399.87,ms,3,0
156,100.00,ms,3,1
157,123.26,us,3,0
158,8,ns,2,0
159,499.99,ms,0,0
160,32,ns,2,0
161,399.87,ms,3,0
162,100.00,ms,3,1
163,123.18,us,3,0
164,48,ns,1,0
