Sample#,SampleTime,units,arduino,gps
0,8,ns,0,1
1,899.98,ms,0,0
2,100.00,ms,0,1
3,899.98,ms,0,0
4,100.00,ms,0,1
5,500.11,ms,0,0
6,144,ns,1,0
7,399.87,ms,3,0
8,100.00,ms,3,1
9,128.90,us,3,0
10,328,ns,2,0
11,499.99,ms,0,0
12,488,ns,1,0
13,399.86,ms,3,0
14,100.00,ms,3,1
15,136.92,us,3,0
16,720,ns,2,0
17,499.99,ms,0,0
18,864,ns,1,0
19,399.85,ms,3,0
20,100.00,ms,3,1
21,144.94,us,3,0
22,1.05,us,2,0
23,499.99,ms,0,0
24,1.26,us,1,0
25,399.84,ms,3,0
26,100.00,ms,3,1
27,152.91,us,3,0
28,1.48,us,2,0
29,499.99,ms,0,0
30,1.68,us,1,0
31,399.83,ms,3,0
32,100.00,ms,3,1
33,160.90,us,3,0
34,1.86,us,2,0
35,499.99,ms,0,0
36,2.02,us,1,0
37,399.82,ms,3,0
38,100.00,ms,3,1
39,168.95,us,3,0
40,2.20,us,2,0
41,499.99,ms,0,0
42,2.44,us,1,0
43,399.81,ms,3,0
44,100.00,ms,3,1
45,176.91,us,3,0
46,2.63,us,2,0
47,499.99,ms,0,0
48,2.83,us,1,0
49,399.81,ms,3,0
50,100.00,ms,3,1
51,184.94,us,3,0
52,2.98,us,2,0
53,499.99,ms,0,0
54,3.22,us,1,0
55,399.80,ms,3,0
56,100.00,ms,3,1
57,192.90,us,3,0
58,3.39,us,2,0
59,499.99,ms,0,0
60,3.57,us,1,0
61,399.79,ms,3,0
62,100.00,ms,3,1
63,120.44,us,3,0
64,499.99,ms,0,0
65,216,ns,1,0
66,399.86,ms,3,0
67,100.00,ms,3,1
68,129.16,us,3,0
69,376,ns,2,0
70,499.99,ms,0,0
71,584,ns,1,0
72,399.86,ms,3,0
73,100.00,ms,3,1
74,137.14,us,3,0
75,800,ns,2,0
76,499.99,ms,0,0
77,1.00,us,1,0
78,399.85,ms,3,0
79,100.00,ms,3,1
80,145.14,us,3,0
81,1.18,us,2,0
82,499.99,ms,0,0
83,1.35,us,1,0
84,399.84,ms,3,0
85,100.00,ms,3,1
86,153.18,us,3,0
87,1.56,us,2,0
88,499.99,ms,0,0
89,1.78,us,1,0
90,399.83,ms,3,0
91,100.00,ms,3,1
92,161.15,us,3,0
93,1.95,us,2,0
94,499.99,ms,0,0
95,2.11,us,1,0
96,399.82,ms,3,0
97,100.00,ms,3,1
98,169.16,us,3,0
99,2.31,us,2,0
100,499.99,ms,0,0
101,2.47,us,1,0
102,399.81,ms,3,0
103,100.00,ms,3,1
104,177.16,us,3,0
105,2.73,us,2,0
106,499.99,ms,0,0
107,2.86,us,1,0
108,399.81,ms,3,0
109,100.00,ms,3,1
110,185.20,us,3,0
111,3.06,us,2,0
112,499.99,ms,0,0
113,3.22,us,1,0
114,399.80,ms,3,0
115,100.00,ms,3,1
116,193.18,us,3,0
117,3.46,us,2,0
118,499.99,ms,0,0
119,3.65,us,1,0
120,399.79,ms,3,0
121,100.00,ms,3,1
122,120.42,us,3,0
123,24,ns,2,0
124,499.99,ms,0,0
125,224,ns,1,0
126,399.86,ms,3,0
127,100.00,ms,3,1
128,129.15,us,3,0
129,368,ns,2,0
130,499.99,ms,0,0
131,600,ns,1,0
132,399.86,ms,3,0
133,100.00,ms,3,1
134,137.14,us,3,0
135,776,ns,2,0
136,499.99,ms,0,0
137,984,ns,1,0
138,399.85,ms,3,0
139,100.00,ms,3,1
140,145.11,us,3,0
141,1.18,us,2,0
142,499.99,ms,0,0
143,1.37,us,1,0
144,399.84,ms,3,0
145,100.00,ms,3,1
146,153.13,us,3,0
147,1.54,us,2,0
148,499.99,ms,0,0
149,1.73,us,1,0
150,399.83,ms,3,0
151,100.00,ms,3,1
152,161.15,us,3,0
153,1.92,us,2,0
154,499.99,ms,0,0
155,2.14,us,1,0
156,399.82,ms,3,0
157,100.00,ms,3,1
158,169.14,us,3,0
159,2.32,us,2,0
160,499.99,ms,0,0
161,2.51,us,1,0
162,399.81,ms,3,0
163,100.00,ms,3,1
164,177.14,us,3,0
165,2.70,us,2,0
166,499.99,ms,0,0
167,2.90,us,1,0
168,399.81,ms,3,0
169,100.00,ms,3,1
170,185.14,us,3,0
171,3.12,us,2,0
172,499.99,ms,0,0
173,3.28,us,1,0
174,399.80,ms,3,0
175,100.00,ms,3,1
176,193.14,us,3,0
177,3.49,us,2,0
178,499.99,ms,0,0
179,3.68,us,1,0
180,399.79,ms,3,0
181,100.00,ms,3,1
182,120.43,us,3,0
183,8,ns,1,0
184,499.99,ms,0,0
185,200,ns,1,0
186,399.86,ms,3,0
187,100.00,ms,3,1
188,129.18,us,3,0
189,360,ns,2,0
190,499.99,ms,0,0
191,584,ns,1,0
192,399.86,ms,3,0
193,100.00,ms,3,1
194,137.17,us,3,0
195,760,ns,2,0
196,499.99,ms,0,0
197,960,ns,1,0
198,399.85,ms,3,0
199,100.00,ms,3,1
200,145.18,us,3,0
201,1.12,us,2,0
202,499.99,ms,0,0
203,1.30,us,1,0
204,399.84,ms,3,0
205,100.00,ms,3,1
206,153.19,us,3,0
207,1.53,us,2,0
208,499.99,ms,0,0
209,1.74,us,1,0
210,399.83,ms,3,0
211,100.00,ms,3,1
212,161.25,us,3,0
213,1.85,us,2,0
214,499.99,ms,0,0
215,2.12,us,1,0
216,399.82,ms,3,0
217,100.00,ms,3,1
218,169.22,us,3,0
219,2.26,us,2,0
220,499.99,ms,0,0
221,2.49,us,1,0
222,399.81,ms,3,0
223,100.00,ms,3,1
224,177.23,us,3,0
225,2.66,us,2,0
226,499.99,ms,0,0
227,2.82,us,1,0
228,399.81,ms,3,0
229,100.00,ms,3,1
230,185.25,us,3,0
231,3.02,us,2,0
232,499.99,ms,0,0
233,3.22,us,1,0
234,399.80,ms,3,0
235,100.00,ms,3,1
236,193.29,us,3,0
237,3.38,us,2,0
238,499.99,ms,0,0
239,3.58,us,1,0
240,399.79,ms,3,0
241,100.00,ms,3,1
242,120.48,us,3,0
243,499.99,ms,0,0
244,184,ns,1,0
245,399.86,ms,3,0
246,100.00,ms,3,1
247,129.21,us,3,0
248,384,ns,2,0
249,499.99,ms,0,0
250,568,ns,1,0
251,399.86,ms,3,0
252,100.00,ms,3,1
253,137.23,us,3,0
254,760,ns,2,0
255,499.99,ms,0,0
256,920,ns,1,0
257,399.85,ms,3,0
258,100.00,ms,3,1
259,145.25,us,3,0
260,1.14,us,2,0
261,499.99,ms,0,0
262,1.34,us,1,0
263,399.84,ms,3,0
264,100.00,ms,3,1
265,153.30,us,3,0
266,1.51,us,2,0
267,499.99,ms,0,0
268,1.71,us,1,0
269,399.83,ms,3,0
270,100.00,ms,3,1
271,161.28,us,3,0
272,1.91,us,2,0
273,499.99,ms,0,0
274,2.14,us,1,0
275,399.82,ms,3,0
276,100.00,ms,3,1
277,169.33,us,3,0
278,2.26,us,2,0
279,499.99,ms,0,0
280,2.48,us,1,0
281,399.81,ms,3,0
282,100.00,ms,3,1
283,177.32,us,3,0
284,2.68,us,2,0
285,499.99,ms,0,0
286,2.85,us,1,0
287,399.81,ms,3,0
288,100.00,ms,3,1
289,185.35,us,3,0
290,3.06,us,2,0
291,499.99,ms,0,0
292,3.25,us,1,0
293,399.80,ms,3,0
294,100.00,ms,3,1
295,193.37,us,3,0
296,3.46,us,2,0
297,499.99,ms,0,0
298,3.60,us,1,0
299,399.79,ms,3,0
300,100.00,ms,3,1
301,120.43,us,3,0
302,32,ns,2,0
303,499.99,ms,0,0
304,192,ns,1,0
305,399.86,ms,3,0
306,100.00,ms,3,1
307,129.15,us,3,0
308,408,ns,2,0
309,499.99,ms,0,0
310,584,ns,1,0
311,399.86,ms,3,0
312,100.00,ms,3,1
313,137.18,us,3,0
314,792,ns,2,0
315,499.99,ms,0,0
316,968,ns,1,0
317,399.85,ms,3,0
318,100.00,ms,3,1
319,145.21,us,3,0
320,1.21,us,2,0
321,499.99,ms,0,0
322,1.36,us,1,0
323,399.84,ms,3,0
324,100.00,ms,3,1
325,153.23,us,3,0
326,1.60,us,2,0
327,499.99,ms,0,0
328,1.74,us,1,0
329,399.83,ms,3,0
330,100.00,ms,3,1
331,161.25,us,3,0
332,1.95,us,2,0
333,499.99,ms,0,0
334,2.13,us,1,0
335,399.82,ms,3,0
336,100.00,ms,3,1
337,169.27,us,3,0
338,2.35,us,2,0
339,499.99,ms,0,0
340,2.50,us,1,0
341,399.81,ms,3,0
342,100.00,ms,3,1
343,177.30,us,3,0
344,2.70,us,2,0
345,499.99,ms,0,0
346,2.88,us,1,0
347,399.81,ms,3,0
348,100.00,ms,3,1
349,185.33,us,3,0
350,3.07,us,2,0
351,499.99,ms,0,0
352,3.26,us,1,0
353,399.80,ms,3,0
354,100.00,ms,3,1
355,193.36,us,3,0
356,3.45,us,2,0
357,499.99,ms,0,0
358,3.67,us,1,0
359,399.79,ms,3,0
360,100.00,ms,3,1
361,120.45,us,3,0
362,499.99,ms,0,0
363,208,ns,1,0
364,399.86,ms,3,0
365,100.00,ms,3,1
366,129.18,us,3,0
367,368,ns,2,0
368,499.99,ms,0,0
369,536,ns,1,0
370,399.86,ms,3,0
371,100.00,ms,3,1
372,137.22,us,3,0
373,728,ns,2,0
374,499.99,ms,0,0
375,944,ns,1,0
376,399.85,ms,3,0
377,100.00,ms,3,1
378,145.24,us,3,0
379,1.16,us,2,0
380,499.99,ms,0,0
381,1.30,us,1,0
382,399.84,ms,3,0
383,100.00,ms,3,1
384,153.28,us,3,0
385,1.50,us,2,0
386,499.99,ms,0,0
387,1.69,us,1,0
388,399.83,ms,3,0
389,100.00,ms,3,1
390,161.30,us,3,0
391,1.88,us,2,0
392,499.99,ms,0,0
393,2.06,us,1,0
394,399.82,ms,3,0
395,100.00,ms,3,1
396,169.35,us,3,0
397,2.23,us,2,0
398,499.99,ms,0,0
399,2.45,us,1,0
400,399.81,ms,3,0
401,100.00,ms,3,1
402,177.38,us,3,0
403,2.62,us,2,0
404,499.99,ms,0,0
405,2.82,us,1,0
406,399.81,ms,3,0
407,100.00,ms,3,1
408,185.39,us,3,0
409,3.02,us,2,0
410,499.99,ms,0,0
411,3.18,us,1,0
412,399.80,ms,3,0
413,100.00,ms,3,1
414,193.43,us,3,0
415,3.38,us,2,0
416,499.99,ms,0,0
417,3.58,us,1,0
418,399.79,ms,3,0
419,79.36,ms,3,1
420,8,ns,3,0
421,20.64,ms,3,1
422,120.42,us,3,0
423,32,ns,1,0
424,499.99,ms,0,0
425,120,ns,1,0
426,399.86,ms,3,0
427,100.00,ms,3,1
428,129.23,us,3,0
429,336,ns,2,0
430,499.99,ms,0,0
431,512,ns,1,0
432,399.86,ms,3,0
433,100.00,ms,3,1
434,137.28,us,3,0
435,672,ns,2,0
436,499.99,ms,0,0
437,880,ns,1,0
438,399.85,ms,3,0
439,100.00,ms,3,1
440,145.27,us,3,0
441,1.09,us,2,0
442,499.99,ms,0,0
443,1.27,us,1,0
444,399.84,ms,3,0
445,100.00,ms,3,1
446,153.35,us,3,0
447,1.42,us,2,0
448,499.99,ms,0,0
449,1.63,us,1,0
450,399.83,ms,3,0
451,100.00,ms,3,1
452,161.34,us,3,0
453,1.88,us,2,0
454,499.99,ms,0,0
455,2.05,us,1,0
456,399.82,ms,3,0
457,100.00,ms,3,1
458,169.42,us,3,0
459,2.18,us,2,0
460,499.99,ms,0,0
461,2.38,us,1,0
462,399.81,ms,3,0
463,100.00,ms,3,1
464,177.42,us,3,0
