Sample#,gps_arduino,gps_rpi,gps_pure,mote,SampleTime,units
0,01,00,00,00,8,ns
1,11,00,00,00,499.98,ms
2,10,00,00,00,6.05,us
3,00,00,00,00,499.98,ms
4,01,00,00,00,6.52,us
5,11,00,00,00,499.87,ms
6,01,00,00,00,776,ns
7,00,00,00,00,500.11,ms
8,10,00,00,00,1.82,us
9,11,00,00,00,499.99,ms
10,01,00,00,00,1.33,us
11,00,00,00,00,499.99,ms
12,10,00,00,00,880,ns
13,11,00,00,00,499.99,ms
14,01,00,00,00,408,ns
15,00,00,00,00,499.99,ms
16,01,00,00,00,48,ns
17,11,00,00,00,499.99,ms
18,10,00,00,00,496,ns
19,00,00,00,00,499.99,ms
20,01,00,00,00,944,ns
21,11,00,00,00,499.99,ms
22,10,00,00,00,1.44,us
23,00,00,00,00,499.99,ms
24,01,00,00,00,1.89,us
25,11,00,00,00,499.99,ms
26,10,00,00,00,2.38,us
27,00,00,00,00,499.99,ms
28,01,00,00,00,2.84,us
29,11,00,00,00,499.98,ms
30,10,00,00,00,3.29,us
31,00,00,00,00,499.98,ms
32,01,00,00,00,3.74,us
33,11,00,00,00,499.98,ms
34,10,00,00,00,4.21,us
35,00,00,00,00,499.98,ms
36,01,00,00,00,4.68,us
37,11,00,00,00,499.98,ms
38,10,00,00,00,5.15,us
39,00,00,00,00,499.98,ms
40,01,00,00,00,5.60,us
41,11,00,00,00,499.98,ms
42,10,00,00,00,6.06,us
43,00,00,00,00,499.98,ms
44,01,00,00,00,6.53,us
45,11,00,00,00,499.87,ms
46,01,00,00,00,816,ns
47,00,00,00,00,500.11,ms
48,10,00,00,00,1.88,us
49,11,00,00,00,499.99,ms
50,01,00,00,00,1.40,us
51,00,00,00,00,499.99,ms
52,10,00,00,00,944,ns
53,11,00,00,00,499.99,ms
54,01,00,00,00,464,ns
55,00,00,00,00,499.99,ms
56,11,00,00,00,499.99,ms
57,10,00,00,00,448,ns
58,00,00,00,00,499.99,ms
59,01,00,00,00,920,ns
60,11,00,00,00,499.99,ms
61,10,00,00,00,1.37,us
62,00,00,00,00,499.99,ms
63,01,00,00,00,1.85,us
64,11,00,00,00,499.99,ms
65,10,00,00,00,2.26,us
66,00,00,00,00,499.99,ms
67,01,00,00,00,2.79,us
68,11,00,00,00,499.98,ms
69,10,00,00,00,3.18,us
70,00,00,00,00,499.98,ms
71,01,00,00,00,3.63,us
72,11,00,00,00,499.98,ms
73,10,00,00,00,4.16,us
74,00,00,00,00,499.98,ms
75,01,00,00,00,4.59,us
76,11,00,00,00,499.98,ms
77,10,00,00,00,5.02,us
78,00,00,00,00,499.98,ms
79,01,00,00,00,5.50,us
80,11,00,00,00,499.98,ms
81,10,00,00,00,5.97,us
82,00,00,00,00,499.98,ms
83,01,00,00,00,6.39,us
84,11,00,00,00,499.87,ms
85,01,00,00,00,816,ns
86,00,00,00,00,500.11,ms
87,10,00,00,00,1.88,us
88,11,00,00,00,499.99,ms
89,01,00,00,00,1.41,us
90,00,00,00,00,499.99,ms
91,10,00,00,00,1.01,us
92,11,00,00,00,499.99,ms
93,01,00,00,00,536,ns
94,00,00,00,00,499.99,ms
95,10,00,00,00,88,ns
96,11,00,00,00,499.99,ms
97,10,00,00,00,392,ns
98,00,00,00,00,499.99,ms
99,01,00,00,00,856,ns
100,11,00,00,00,499.99,ms
101,10,00,00,00,1.30,us
102,00,00,00,00,499.99,ms
103,01,00,00,00,1.76,us
104,11,00,00,00,499.99,ms
105,10,00,00,00,2.25,us
106,00,00,00,00,499.99,ms
107,01,00,00,00,2.67,us
108,11,00,00,00,499.98,ms
109,10,00,00,00,3.10,us
110,00,00,00,00,499.98,ms
111,01,00,00,00,3.58,us
112,11,00,00,00,499.98,ms
113,10,00,00,00,4.04,us
114,00,00,00,00,499.98,ms
115,01,00,00,00,4.50,us
116,11,00,00,00,499.98,ms
117,10,00,00,00,4.98,us
118,00,00,00,00,499.98,ms
119,01,00,00,00,5.40,us
120,11,00,00,00,499.98,ms
121,10,00,00,00,5.86,us
122,00,00,00,00,499.98,ms
123,01,00,00,00,6.30,us
124,11,00,00,00,499.87,ms
125,01,00,00,00,808,ns
126,00,00,00,00,500.11,ms
127,10,00,00,00,1.88,us
128,11,00,00,00,499.99,ms
129,01,00,00,00,1.40,us
130,00,00,00,00,499.99,ms
131,10,00,00,00,968,ns
132,11,00,00,00,499.99,ms
133,01,00,00,00,504,ns
134,00,00,00,00,499.99,ms
135,10,00,00,00,56,ns
136,11,00,00,00,499.99,ms
137,10,00,00,00,408,ns
138,00,00,00,00,499.99,ms
139,01,00,00,00,848,ns
140,11,00,00,00,499.99,ms
141,10,00,00,00,1.30,us
142,00,00,00,00,499.99,ms
143,01,00,00,00,1.77,us
144,11,00,00,00,499.99,ms
145,10,00,00,00,2.23,us
146,00,00,00,00,499.99,ms
147,01,00,00,00,2.64,us
148,11,00,00,00,499.98,ms
149,10,00,00,00,3.10,us
150,00,00,00,00,499.98,ms
151,01,00,00,00,3.57,us
152,11,00,00,00,499.98,ms
153,10,00,00,00,3.97,us
154,00,00,00,00,499.98,ms
155,01,00,00,00,4.46,us
156,11,00,00,00,499.98,ms
157,10,00,00,00,4.93,us
158,00,00,00,00,499.98,ms
159,01,00,00,00,5.34,us
160,11,00,00,00,499.98,ms
161,10,00,00,00,5.79,us
162,00,00,00,00,499.98,ms
163,01,00,00,00,6.26,us
164,11,00,00,00,499.87,ms
165,01,00,00,00,832,ns
166,00,00,00,00,500.11,ms
167,10,00,00,00,1.87,us
168,11,00,00,00,499.99,ms
169,01,00,00,00,1.44,us
170,00,00,00,00,499.99,ms
171,10,00,00,00,992,ns
172,11,00,00,00,499.99,ms
173,01,00,00,00,584,ns
174,00,00,00,00,499.99,ms
175,10,00,00,00,96,ns
176,11,00,00,00,499.99,ms
177,10,00,00,00,336,ns
178,00,00,00,00,499.99,ms
179,01,00,00,00,808,ns
180,11,00,00,00,499.99,ms
181,10,00,00,00,1.20,us
182,00,00,00,00,499.99,ms
183,01,00,00,00,1.67,us
184,11,00,00,00,499.99,ms
185,10,00,00,00,2.15,us
186,00,00,00,00,499.99,ms
187,01,00,00,00,2.58,us
188,11,00,00,00,499.98,ms
189,10,00,00,00,3.01,us
190,00,00,00,00,499.98,ms
191,01,00,00,00,3.46,us
192,11,00,00,00,499.98,ms
193,10,00,00,00,3.90,us
194,00,00,00,00,499.98,ms
195,01,00,00,00,4.36,us
196,11,00,00,00,499.98,ms
197,10,00,00,00,4.79,us
198,00,00,00,00,499.98,ms
199,01,00,00,00,5.25,us
200,11,00,00,00,499.98,ms
201,10,00,00,00,5.67,us
202,00,00,00,00,499.98,ms
203,01,00,00,00,6.13,us
204,11,00,00,00,499.87,ms
205,01,00,00,00,864,ns
206,00,00,00,00,500.11,ms
207,10,00,00,00,1.92,us
208,11,00,00,00,499.99,ms
209,01,00,00,00,1.47,us
210,00,00,00,00,499.99,ms
211,10,00,00,00,1.03,us
212,11,00,00,00,499.99,ms
213,01,00,00,00,624,ns
214,00,00,00,00,499.99,ms
