Sample#,gps_arduino,gps_rpi,gps_pure,mote,SampleTime,units
0,01,00,00,00,8,ns
1,00,00,00,00,499.99,ms
2,10,00,00,00,80,ns
3,11,00,00,00,499.99,ms
4,01,00,00,00,80,ns
5,00,00,00,00,499.99,ms
6,10,00,00,00,112,ns
7,11,00,00,00,499.99,ms
8,01,00,00,00,64,ns
9,00,00,00,00,499.99,ms
10,10,00,00,00,160,ns
11,11,00,00,00,499.99,ms
12,01,00,00,00,144,ns
13,00,00,00,00,499.99,ms
14,10,00,00,00,144,ns
15,11,00,00,00,499.99,ms
16,01,00,00,00,152,ns
17,00,00,00,00,499.99,ms
18,10,00,00,00,168,ns
19,11,00,00,00,499.99,ms
20,01,00,00,00,176,ns
21,00,00,00,00,499.99,ms
22,10,00,00,00,152,ns
23,11,00,00,00,499.99,ms
24,01,00,00,00,168,ns
25,00,00,00,00,499.99,ms
26,10,00,00,00,168,ns
27,11,00,00,00,499.99,ms
28,01,00,00,00,200,ns
29,00,00,00,00,499.99,ms
30,10,00,00,00,216,ns
31,11,00,00,00,500.02,ms
32,01,00,00,00,48,ns
33,00,00,00,00,499.95,ms
34,10,00,00,00,216,ns
35,11,00,00,00,499.97,ms
36,01,00,00,00,8,ns
37,00,00,00,00,500.00,ms
38,01,00,00,00,24,ns
39,11,00,00,00,499.99,ms
40,10,00,00,00,16,ns
41,00,00,00,00,499.99,ms
42,01,00,00,00,16,ns
43,11,00,00,00,499.99,ms
44,10,00,00,00,80,ns
45,00,00,00,00,499.99,ms
46,01,00,00,00,64,ns
47,11,00,00,00,499.99,ms
48,10,00,00,00,40,ns
49,00,00,00,00,499.99,ms
50,01,00,00,00,56,ns
51,11,00,00,00,499.99,ms
52,10,00,00,00,128,ns
53,00,00,00,00,499.99,ms
54,01,00,00,00,80,ns
55,11,00,00,00,499.99,ms
56,10,00,00,00,144,ns
57,00,00,00,00,499.99,ms
58,01,00,00,00,160,ns
59,11,00,00,00,499.99,ms
60,10,00,00,00,184,ns
61,00,00,00,00,499.99,ms
62,01,00,00,00,184,ns
63,11,00,00,00,499.99,ms
64,10,00,00,00,176,ns
65,00,00,00,00,499.99,ms
66,01,00,00,00,200,ns
67,11,00,00,00,499.99,ms
68,10,00,00,00,248,ns
69,00,00,00,00,499.99,ms
70,01,00,00,00,296,ns
71,11,00,00,00,500.02,ms
72,01,00,00,00,8,ns
73,00,00,00,00,499.95,ms
74,01,00,00,00,288,ns
75,11,00,00,00,499.97,ms
76,01,00,00,00,24,ns
77,00,00,00,00,500.00,ms
78,10,00,00,00,48,ns
79,11,00,00,00,499.99,ms
80,10,00,00,00,48,ns
81,00,00,00,00,499.99,ms
82,01,00,00,00,40,ns
83,11,00,00,00,499.99,ms
84,10,00,00,00,56,ns
85,00,00,00,00,499.99,ms
86,01,00,00,00,48,ns
87,11,00,00,00,499.99,ms
88,10,00,00,00,48,ns
89,00,00,00,00,499.99,ms
90,01,00,00,00,96,ns
91,11,00,00,00,499.99,ms
92,10,00,00,00,80,ns
93,00,00,00,00,499.99,ms
94,01,00,00,00,88,ns
95,11,00,00,00,499.99,ms
96,10,00,00,00,120,ns
97,00,00,00,00,499.99,ms
98,01,00,00,00,168,ns
99,11,00,00,00,499.99,ms
100,10,00,00,00,176,ns
101,00,00,00,00,499.99,ms
102,01,00,00,00,208,ns
103,11,00,00,00,499.99,ms
104,10,00,00,00,208,ns
105,00,00,00,00,499.99,ms
106,01,00,00,00,232,ns
107,11,00,00,00,499.99,ms
108,10,00,00,00,256,ns
109,00,00,00,00,499.99,ms
110,01,00,00,00,304,ns
111,11,00,00,00,500.02,ms
112,01,00,00,00,16,ns
113,00,00,00,00,499.95,ms
114,01,00,00,00,296,ns
115,11,00,00,00,499.97,ms
116,01,00,00,00,24,ns
117,00,00,00,00,500.00,ms
118,10,00,00,00,24,ns
119,11,00,00,00,499.99,ms
120,01,00,00,00,32,ns
121,00,00,00,00,499.99,ms
122,01,00,00,00,8,ns
123,11,00,00,00,499.99,ms
124,00,00,00,00,499.99,ms
125,01,00,00,00,56,ns
126,11,00,00,00,499.99,ms
127,10,00,00,00,72,ns
128,00,00,00,00,499.99,ms
129,01,00,00,00,80,ns
130,11,00,00,00,499.99,ms
131,10,00,00,00,136,ns
132,00,00,00,00,499.99,ms
133,01,00,00,00,112,ns
134,11,00,00,00,499.99,ms
135,10,00,00,00,104,ns
136,00,00,00,00,499.99,ms
137,01,00,00,00,152,ns
138,11,00,00,00,499.99,ms
139,10,00,00,00,176,ns
140,00,00,00,00,499.99,ms
141,01,00,00,00,168,ns
142,11,00,00,00,499.99,ms
143,10,00,00,00,216,ns
144,00,00,00,00,499.99,ms
145,01,00,00,00,216,ns
146,11,00,00,00,499.99,ms
147,10,00,00,00,224,ns
148,00,00,00,00,499.99,ms
149,01,00,00,00,240,ns
150,11,00,00,00,500.02,ms
151,01,00,00,00,24,ns
152,00,00,00,00,499.95,ms
153,01,00,00,00,304,ns
154,11,00,00,00,499.97,ms
155,01,00,00,00,24,ns
156,00,00,00,00,500.00,ms
157,11,00,00,00,499.99,ms
158,10,00,00,00,24,ns
159,00,00,00,00,499.99,ms
160,01,00,00,00,48,ns
161,11,00,00,00,499.99,ms
162,10,00,00,00,8,ns
