network_time,instant_drift_coefficient,ema_drift_coefficient,drift_coefficient
1026682218.345328,1.0001676487392477,1.000067059495699,1.0001072951931185
1026682223.367137,1.000131628963376,1.00009288728277,1.0001083839550122
1026682228.388795,1.000153282914325,1.0001170455353918,1.000131540486965
1026682233.405977,1.0001377379278955,1.0001253224923934,1.0001302886665941
1026682238.421349,1.000145179726464,1.0001332653860215,1.0001380311221986
1026682243.442794,1.0001409920814393,1.0001363560641887,1.000138210471089
1026682248.46442,1.0001447615271055,1.0001397182493554,1.0001417355604554
1026682253.47967,1.0001383614500707,1.0001391755296416,1.0001388498978132
1026682258.50084,1.0001434451615225,1.000140883382394,1.0001419080940455
1026682263.522098,1.0001429915673437,1.000141726656374,1.0001422326207619
1026682268.543329,1.000141567871657,1.000141663142487,1.000141625034155
1026682273.564589,1.0001417807231492,1.0001417101747518,1.0001417383941107
1026682278.58581,1.0001443933478018,1.0001427834439718,1.0001434274055039
1026682283.631483,0.994685959441691,0.9979600538430595,0.996650416082512
1026682288.682649,0.994089056205934,0.9964116547882093,0.9954826153552991
1026682293.726637,0.9955858424971163,0.9960813298717721,0.9958831349219098
1026682298.76529,0.9966647727669283,0.9963147070298346,0.996454733324672
1026682303.799334,0.9974825605249444,0.9967818484278785,0.9970621332667049
1026682308.830693,0.9980367291949139,0.9972838007346927,0.9975849721187813
1026682313.860417,0.9984146190557666,0.9977361280631223,0.99800752446018
1026682318.888019,0.9987775575345359,0.9981526998516878,0.9984026429248269
1026682323.913699,0.9989664707866464,0.9984782082256711,0.9986735132500612
1026682328.937365,0.9991112100369315,0.9987314089501752,0.9988833293848777
1026682333.962618,0.9992356993474326,0.9989331251090782,0.99905415480442
1026682338.986924,0.9993126902184629,0.999084951152832,0.9991760467790843
1026682344.011892,0.9993620305098968,0.9991957828956579,0.9992622819413535
1026682349.036261,0.9994190397514328,0.9992850856379678,0.9993386672833537
1026682354.060051,0.9994488000919735,0.9993505714195701,0.9993898628885314
1026682359.084583,0.9994606255974365,0.9993945930907167,0.9994210060934046
1026682364.107459,0.9994780341074202,0.9994279694973981,0.9994479953414069
1026682369.131281,0.999476447667048,0.9994473607652581,0.9994589955259741
1026682374.154158,0.9995241954267605,0.999478094629859,0.9994965349486197
1026682379.17743,0.9995152623767569,0.9994929617286182,0.9995018819878737
1026682384.201466,0.9995109701659057,0.9995001651035332,0.9995044871284823
1026682389.225654,0.9995153032994112,0.9995062203818845,0.9995098535488951
1026682394.249727,0.9995250917078402,0.9995137689122667,0.9995182980304961
1026682399.273978,0.9995167804318236,0.9995149735200894,0.9995156962847831
1026682404.297099,0.9995227708821083,0.999518092464897,0.9995199638317815
1026682409.321442,0.9995187348430185,0.9995183494161456,0.9995185035868948
1026682414.345052,0.9995266615639674,0.9995216742752744,0.9995236691907516
1026682419.368173,0.9995124711438237,0.9995179930226941,0.999515784271146
1026682424.391301,0.9995315286888129,0.9995234072891416,0.9995266558490101
1026682429.41479,0.9995284299412815,0.9995254163499976,0.9995266217865112
1026682434.439133,0.9995179281473303,0.9995224210689307,0.9995206239002906
1026682439.463268,0.9995290837581493,0.9995250861446182,0.9995266851900306
1026682444.487522,0.9995159502817044,0.9995214317994526,0.9995192391923533
1026682449.511653,0.9995318832049901,0.9995256123616676,0.9995281206989965
1026682454.535812,0.9995250998435167,0.9995254073544072,0.9995252843500511
1026682459.560004,0.9995161341259214,0.9995216980630129,0.9995194724881763
1026682464.584226,0.9995272886691713,0.9995239343054763,0.9995252760509543
1026682469.608449,0.9995137644198223,0.9995198663512147,0.9995174255786577
1026682474.623694,1.000528583588989,0.9999233532463244,1.0001654453833901
1026682479.638303,1.0014660914063014,1.000540448510315,1.0009107056687097
1026682484.654194,1.0012205195684425,1.0008124769335662,1.0009756939875167
1026682489.672832,1.0010090645737906,1.000891111989656,1.0009382930233097
1026682494.692141,1.0008201873144995,1.0008627421195935,1.0008457201975558
1026682499.711815,1.0006614170483255,1.0007822120910863,1.0007338940739818
1026682504.731846,1.0005430400821902,1.0006865432875278,1.0006291420053928
1026682509.751852,1.0004199154028262,1.000579892133647,1.0005159014413187
1026682514.769694,1.000327823994412,1.0004790648779531,1.0004185685245366
1026682519.790649,1.0002459707801907,1.0003858272388482,1.0003298846553852
1026682524.811878,1.000153343497197,1.0002928337421877,1.0002370376441916
1026682529.833233,1.0001298365879885,1.000227634880508,1.0001885155635
1026682534.85489,1.0000653298235012,1.0001627128577053,1.0001237596440236
1026682539.876638,1.0000203202451647,1.0001057558126891,1.0000715815856793
1026682544.896365,0.9999814764336777,1.0000560440610846,1.000026217010122
1026682549.918479,0.9999508409321993,1.0000139628095304,0.999988714058598
1026682554.940775,0.9999163305508633,0.9999749099060635,0.9999514781639833
1026682559.963257,0.9999142212198189,0.9999506344315656,0.999936069146867
1026682564.983143,0.9998754685838869,0.9999205680924941,0.9999025282890512
1026682570.005745,0.9998604407414299,0.9998965171520684,0.999882086587813
1026682575.028471,0.9998504521762744,0.9998780911617509,0.9998670355675603
1026682580.051135,0.9998481243715905,0.9998661044456868,0.9998589124160483
1026682585.071937,0.9998239213401352,0.9998492312034661,0.9998391072581337
1026682590.094723,0.9998152331564136,0.9998356319846451,0.9998274724533525
1026682595.1176,0.9997915744332507,0.9998180089640873,0.9998074351517527
1026682600.140447,0.9998333202601799,0.9998241334825244,0.9998278081935866
1026682605.157617,1.0001816234686034,0.999967129476956,1.000052927073615
1026682610.178425,1.0002491595554257,1.000079941508344,1.0001476287271767
1026682615.199411,1.0001742677974668,1.000117672023993,1.0001403103333826
1026682620.220611,1.0001415924900712,1.0001272402104242,1.000132981122283
1026682625.239055,1.0001338788572123,1.0001298956691396,1.0001314889443687
1026682630.260467,1.0000954118350132,1.000116102135489,1.0001078260152987
1026682635.278704,1.0000912437737883,1.0001061587908087,1.0001001927840005
1026682640.300359,1.0000555731026657,1.0000859245155516,1.0000737839503973
1026682645.318109,1.0000510311499555,1.0000719671693132,1.00006359276157
1026682650.339894,1.0000173290535161,1.0000501119229943,1.0000369987752031
1026682655.357706,1.0000159410984253,1.0000364435931668,1.0000282425952702
1026682660.379607,0.9999920478098019,1.0000186852798207,1.0000080302918133
1026682665.397421,0.9999919938183726,1.0000080086952416,1.000001602744494
1026682670.419719,0.9999643722566074,0.999990554119788,0.9999800813745157
1026682675.4422,0.9999661536901592,0.9999807939479364,0.9999749378448255
1026682680.464441,0.9999442434918281,0.9999661737654931,0.9999574016560271
1026682685.484084,0.9999249070564521,0.9999496670818766,0.9999397630717068
1026682690.506352,0.9999472345454363,0.9999486940673005,0.9999481102585548
1026682695.52407,0.9999029261609245,0.99993038690475,0.9999194026072198
1026682700.546338,0.9999303344088419,0.9999303659063867,0.9999303533073688
1026682705.564028,0.9999051350945863,0.9999202735816666,0.9999142181868345
1026682710.586418,0.9999077873105893,0.9999152790732356,0.9999122823681771
1026682715.60873,0.9998950871495857,0.9999072023037756,0.9999023562420997
1026682720.631056,0.9998861152836138,0.9998987674957109,0.9998937066108721
1026682725.651093,0.9998953958078962,0.999897418820585,0.9998966096155095
1026682730.674816,0.9996331691845125,0.999791718966156,0.9997282990534986
1026682735.696103,1.0001220751116624,0.9999238614243585,1.00000314689928
1026682740.71861,0.99986340497851,0.999899678846019,0.9998851692990154
1026682745.741183,0.999870361039994,0.999887951723609,0.9998809154501631
1026682750.763721,0.9998646162966187,0.9998786175528129,0.9998730170503353
1026682755.786321,0.9998645942361576,0.9998730082261509,0.9998696426301537
1026682760.808955,0.9998523007206694,0.9998647252239583,0.9998597554226427
1026682765.831586,0.9998635982256424,0.999864274424632,0.9998640039450362
1026682770.854186,0.9998514927494545,0.999859161754561,0.9998560941525184
1026682775.87678,0.9998516587119343,0.9998561605375104,0.99985435980728
1026682780.89938,0.999846104996741,0.9998521383212027,0.999849724991418
1026682785.921949,0.9998504475051637,0.9998514619947871,0.9998510561989378
1026682790.944644,0.9998391538080497,0.9998465387200922,0.9998435847552752
1026682795.967365,0.9998347638530525,0.9998418287732763,0.9998390028051868
1026682800.990026,0.9998514708162939,0.9998456855904834,0.9998479996808076
