network_time,rpi_time,network_reference,rpi_reference,instant_drift_coefficient,ema_drift_coefficient,drift_coefficient
1025665346.777011,1508433086.233614,1025665341.761017,1508433081.217671,0.9999898282224429,0.9999959312889771,0.9999934900623634
1025665351.792092,1508433091.248756,1025665346.777011,1508433086.233614,1.0000121703232943,1.000002426902704,1.00000632427094
1025665356.806946,1508433096.263711,1025665351.792092,1508433091.248756,1.000020134238558,1.0000095098370456,1.0000137595976506
1025665361.821833,1508433101.278695,1025665356.806946,1508433096.263711,1.0000193734318366,1.000013455274962,1.0000158225377118
1025665366.836755,1508433106.293673,1025665361.821833,1508433101.278695,1.0000111485595478,1.0000125325887963,1.000011978977097
1025665371.851834,1508433111.308816,1025665366.836755,1508433106.293673,1.0000127408120443,1.0000126158780955,1.000012665851675
1025665376.873469,1508433116.330547,1025665371.851834,1508433111.308816,1.0000191574851391,1.000015232520913,1.0000168025066034
1025665381.895133,1508433121.35227,1025665376.873469,1508433116.330547,1.0000117033277167,1.0000138208436344,1.0000129738372672
1025665386.916796,1508433126.374008,1025665381.895133,1508433121.35227,1.000014955574111,1.000014274735825,1.0000145470711392
1025665391.938435,1508433131.395728,1025665386.916796,1508433126.374008,1.0000161663405822,1.0000150313777278,1.0000154853628695
1025665396.960098,1508433136.417463,1025665391.938435,1508433131.395728,1.000014314620595,1.0000147446748748,1.0000145726531628
1025665401.980238,1508433141.43769,1025665396.960098,1508433136.417463,1.0000173347322066,1.0000157806978076,1.0000164023115672
1025665406.99937,1508433146.456895,1025665401.980238,1508433141.43769,1.0000145593489533,1.000015292158266,1.000014999034541
1025665412.021097,1508433151.478694,1025665406.99937,1508433146.456895,1.0000143144384566,1.000014901070342,1.000014666417588
1025665417.042763,1508433156.500436,1025665412.021097,1508433151.478694,1.0000151454768151,1.0000149988329312,1.0000150574904847
1025665422.064458,1508433161.522172,1025665417.042763,1508433156.500436,1.0000081424272425,1.0000122562706557,1.0000106107332905
1025665427.086154,1508433166.543976,1025665422.064458,1508433161.522172,1.0000215311373362,1.0000159662173278,1.000018192185331
1025665432.107819,1508433171.565714,1025665427.086154,1508433166.543976,1.0000145045271336,1.00001538154125,1.0000150307356033
1025665437.129515,1508433176.587464,1025665432.107819,1508433171.565714,1.0000107774378375,1.0000135398998848,1.0000124349150659
1025665442.151251,1508433181.609242,1025665437.129515,1508433176.587464,1.0000083560088986,1.0000114663434903,1.0000102222096536
1025665447.172886,1508433186.631026,1025665442.151251,1508433181.609242,1.0000296739229932,1.0000187493752914,1.0000231191943723
1025665452.192537,1508433191.650741,1025665447.172886,1508433186.631026,1.000012776704714,1.0000163603070604,1.0000149268661218
1025665457.214235,1508433196.672482,1025665452.192537,1508433191.650741,1.0000085459827044,1.000013234577318,1.0000113591394726
1025665462.235869,1508433201.694231,1025665457.214235,1508433196.672482,1.0000228845337584,1.0000170945598943,1.00001941054944
1025665467.257594,1508433206.715974,1025665462.235869,1508433201.694231,1.0000036082844501,1.0000117000497166,1.00000846334361
1025665472.279259,1508433211.737765,1025665467.257594,1508433206.715974,1.000025092119771,1.0000170568777385,1.0000202709745514
1025665477.301018,1508433216.75951,1025665472.279259,1508433211.737765,0.9999971988508262,1.0000091136669735,1.0000043477405145
1025665482.319447,1508433221.778057,1025665477.301018,1508433216.75951,1.0000235167610607,1.0000148749046085,1.0000183316471893
1025665487.341141,1508433226.799803,1025665482.319447,1508433221.778057,1.0000103501429625,1.00001306499995,1.0000119790571549
1025665492.362811,1508433231.821624,1025665487.341141,1508433226.799803,1.0000300772791415,1.0000198699116265,1.0000239528586325
1025665497.384474,1508433236.843368,1025665492.362811,1508433231.821624,1.000016118785048,1.000018369460995,1.0000174691906163
1025665502.399545,1508433241.858489,1025665497.384474,1508433236.843368,1.0000099834882612,1.0000150150719014,1.0000130024384453
1025665507.421188,1508433246.880221,1025665502.399545,1508433241.858489,1.0000176856299745,1.0000160832951306,1.000016724229068
1025665512.44282,1508433251.901943,1025665507.421188,1508433246.880221,1.0000179467997035,1.0000168286969597,1.0000172759380572
1025665517.464483,1508433256.923678,1025665512.44282,1508433251.901943,1.000014314620595,1.0000158230664138,1.0000152196880863
1025665522.486183,1508433261.945435,1025665517.464483,1508433256.923678,1.0000113709001763,1.0000140421999189,1.0000129736800218
1025665527.507846,1508433266.967168,1025665522.486183,1508433261.945435,1.000013958535837,1.000014008734286,1.0000139886549064
1025665532.529509,1508433271.988919,1025665527.507846,1508433266.967168,1.0000175193868157,1.0000154129952978,1.000016255551905
1025665537.551183,1508433277.010647,1025665532.529509,1508433271.988919,1.0000107537462146,1.0000135492956645,1.0000124310758847
1025665542.572815,1508433282.032391,1025665537.551183,1508433277.010647,1.000022314803864,1.0000170554989443,1.0000191592209122
1025665547.59454,1508433287.054111,1025665542.572815,1508433282.032391,0.9999989792353442,1.000009824993504,1.0000054866902401
1025665552.616111,1508433292.075835,1025665547.59454,1508433287.054111,1.0000304577028325,1.0000180780772354,1.0000230299274742
1025665557.637874,1508433297.097665,1025665552.616111,1508433292.075835,1.0000133647944869,1.000016192764136,1.0000150615762764
1025665562.659567,1508433302.119376,1025665557.637874,1508433297.097665,1.0000035608296771,1.0000111399903524,1.0000081083260823
1025665567.681291,1508433307.1412,1025665562.659567,1508433302.119376,1.000019940523117,1.0000146602034583,1.0000167723313216
1025665572.703023,1508433312.163038,1025665567.681291,1508433307.1412,1.0000211036867335,1.0000172375967682,1.0000187840327541
1025665577.724686,1508433317.184782,1025665572.703023,1508433312.163038,1.000016118785048,1.0000167900720802,1.0000165215572674
1025665582.746409,1508433322.206533,1025665577.724686,1508433317.184782,1.000005554861066,1.0000122959876745,1.000009599537031
1025665587.768113,1508433327.228353,1025665582.746409,1508433322.206533,1.0000231216035398,1.0000166262340207,1.0000192243818282
1025665592.789837,1508433332.250162,1025665587.768113,1508433327.228353,1.0000169019672134,1.0000167365272978,1.0000168027032639
1025665597.8115,1508433337.271873,1025665592.789837,1508433332.250162,1.0000095905586364,1.0000138781398333,1.0000121631073546
1025665602.833172,1508433342.293635,1025665597.8115,1508433337.271873,1.000017899178627,1.0000154865553508,1.0000164516046612
1025665607.854804,1508433347.315344,1025665602.833172,1508433342.293635,1.0000153592316567,1.000015435625873,1.0000154050681864
1025665612.876436,1508433352.337059,1025665607.854804,1508433347.315344,1.0000165224505206,1.000015870355732,1.0000161311936475
1025665617.898132,1508433357.358817,1025665612.876436,1508433352.337059,1.0000123679410717,1.0000144693898678,1.0000136288103494
1025665622.919795,1508433362.380556,1025665617.898132,1508433357.358817,1.0000151217467976,1.0000147303326397,1.0000148868983028
1025665627.941427,1508433367.402279,1025665622.919795,1508433362.380556,1.0000180892346218,1.0000160738934325,1.0000168800299083
1025665632.963059,1508433372.42398,1025665627.941427,1508433367.402279,1.0000137687087671,1.0000151518195664,1.0000145985752467
1025665637.984733,1508433377.445727,1025665632.963059,1508433372.42398,1.0000145519788732,1.000014911883289,1.0000147679215228
1025665643.006399,1508433382.467476,1025665637.984733,1508433377.445727,1.0000164748603602,1.0000155370741175,1.0000159121886145
1025665648.028185,1508433387.489263,1025665643.006399,1508433382.467476,1.0000002373842496,1.0000094171981704,1.000005745272602
1025665653.049849,1508433392.511086,1025665648.028185,1508433387.489263,1.0000316440889376,1.0000183079544773,1.0000236424082614
1025665658.07155,1508433397.532837,1025665653.049849,1508433392.511086,1.0000099465684114,1.000014963400051,1.0000129566673952
1025665663.093215,1508433402.55459,1025665658.07155,1508433397.532837,1.0000175431187426,1.0000159952875276,1.0000166144200135
1025665668.11488,1508433407.576312,1025665663.093215,1508433402.55459,1.0000113709795369,1.0000141455643314,1.0000130357304136
1025665673.136544,1508433412.598071,1025665668.11488,1508433407.576312,1.0000189199841585,1.0000160553322623,1.0000172011930208
1025665678.158274,1508433417.619811,1025665673.136544,1508433412.598071,1.0000019703112082,1.0000104213238408,1.0000070409187878
1025665683.179939,1508433422.641623,1025665678.158274,1508433417.619811,1.0000292701832334,1.0000179608675979,1.0000224845938521
1025665688.201573,1508433427.663337,1025665683.179939,1508433422.641623,1.0000159289652661,1.000017148106665,1.0000166604501055
1025665693.22321,1508433432.685057,1025665688.201573,1508433427.663337,1.000016522434047,1.0000168978376178,1.0000167476761894
1025665698.244905,1508433437.706787,1025665693.22321,1508433432.685057,1.0000070029622055,1.0000129398874529,1.0000105651173539
1025665703.266569,1508433442.728558,1025665698.244905,1508433437.706787,1.0000212938843038,1.0000162814861933,1.0000182864454374
1025665708.288208,1508433447.750274,1025665703.266569,1508433442.728558,1.0000153117322694,1.0000158935846237,1.000015660843682
1025665713.308042,1508433452.770175,1025665708.288208,1508433447.750274,1.0000133461823981,1.0000148746237336,1.0000142632471993
1025665718.329706,1508433457.791926,1025665713.308042,1508433452.770175,1.0000173294714725,1.0000158565628292,1.0000164457262866
1025665723.344874,1508433462.807183,1025665718.329706,1508433457.791926,1.0000177560029968,1.0000166163388964,1.0000170722045365
1025665728.36657,1508433467.828931,1025665723.344874,1508433462.807183,1.000010373877636,1.0000141193543923,1.0000126211636897
1025665733.388174,1508433472.850645,1025665728.36657,1508433467.828931,1.000021887620694,1.000017226660913,1.0000190910448254
1025665738.409778,1508433477.872334,1025665733.388174,1508433472.850645,1.000016926110548,1.000017106440767,1.0000170343086794
1025665743.433001,1508433482.89565,1025665738.409778,1508433477.872334,1.000018486942701,1.0000176586415406,1.0000179899620045
1025665748.454696,1508433487.917392,1025665743.433001,1508433482.89565,1.000009376847699,1.0000143459240038,1.000012358293482
1025665753.47633,1508433492.939129,1025665748.454696,1508433487.917392,1.0000205343590987,1.0000168212980418,1.0000183065224646
1025665758.498116,1508433497.960961,1025665753.47633,1508433492.939129,1.000009163032037,1.00001375799164,1.0000119200077988
1025665763.519723,1508433502.982672,1025665758.498116,1508433497.960961,1.0000206769048918,1.0000165255569406,1.000018186096121
1025665768.541392,1508433508.004424,1025665763.519723,1508433502.982672,1.0000165698068872,1.0000165432569192,1.0000165538769064
1025665773.563025,1508433513.026136,1025665768.541392,1508433508.004424,1.0000156915768115,1.000016202584876,1.00001599818165
1025665778.584722,1508433518.047895,1025665773.563025,1508433513.026136,1.000012344199584,1.0000146592307593,1.0000137332182892
1025665783.606422,1508433523.069611,1025665778.584722,1508433518.047895,1.0000032284811287,1.000010086930907,1.0000073435509957
1025665788.628115,1508433528.091443,1025665783.606422,1508433523.069611,1.0000276557765024,1.0000171144691452,1.0000213309920882
1025665793.649841,1508433533.113213,1025665788.628115,1508433528.091443,1.0000087833223226,1.000013782010416,1.0000117825351786
1025665798.671449,1508433538.13496,1025665793.649841,1508433533.113213,1.0000276562452632,1.0000193317043549,1.0000226615207182
1025665803.691007,1508433543.15459,1025665798.671449,1508433538.13496,1.0000143206235623,1.0000173272720378,1.0000161246126478
1025665808.712673,1508433548.176335,1025665803.691007,1508433543.15459,1.0000157864299706,1.000016710935211,1.0000163411331149
