Sample#,SampleTime,units,arduino,gps
0,8,ns,0,1
1,8,ns,0,0
2,12.42,ms,0,1
3,899.98,ms,0,0
4,100.00,ms,0,1
5,899.98,ms,0,0
6,100.00,ms,0,1
7,899.98,ms,0,0
8,100.00,ms,0,1
9,899.98,ms,0,0
10,100.00,ms,0,1
11,899.98,ms,0,0
12,100.00,ms,0,1
13,899.98,ms,0,0
14,100.00,ms,0,1
15,500.11,ms,0,0
16,216,ns,1,0
17,399.86,ms,3,0
18,100.00,ms,3,1
19,129.30,us,3,0
20,504,ns,2,0
21,499.99,ms,0,0
22,776,ns,1,0
23,399.86,ms,3,0
24,100.00,ms,3,1
25,137.18,us,3,0
26,1.05,us,2,0
27,499.99,ms,0,0
28,1.30,us,1,0
29,399.85,ms,3,0
30,100.00,ms,3,1
31,145.10,us,3,0
32,1.56,us,2,0
33,499.99,ms,0,0
34,1.81,us,1,0
35,399.84,ms,3,0
36,100.00,ms,3,1
37,152.96,us,3,0
38,2.10,us,2,0
39,499.99,ms,0,0
40,2.36,us,1,0
41,399.83,ms,3,0
42,100.00,ms,3,1
43,160.88,us,3,0
44,2.59,us,2,0
45,499.99,ms,0,0
46,2.89,us,1,0
47,399.82,ms,3,0
48,100.00,ms,3,1
49,168.75,us,3,0
50,3.14,us,2,0
51,499.99,ms,0,0
52,3.43,us,1,0
53,399.81,ms,3,0
54,100.00,ms,3,1
55,176.65,us,3,0
56,3.66,us,2,0
57,499.99,ms,0,0
58,3.93,us,1,0
59,399.81,ms,3,0
60,100.00,ms,3,1
61,184.54,us,3,0
62,4.20,us,2,0
63,499.99,ms,0,0
64,4.46,us,1,0
65,399.80,ms,3,0
66,100.00,ms,3,1
67,192.48,us,3,0
68,4.67,us,2,0
69,499.99,ms,0,0
70,4.98,us,1,0
71,399.79,ms,3,0
72,100.00,ms,3,1
73,120.96,us,3,0
74,8,ns,2,0
75,499.99,ms,0,0
76,248,ns,1,0
77,399.86,ms,3,0
78,100.00,ms,3,1
79,129.61,us,3,0
80,528,ns,2,0
81,499.99,ms,0,0
82,808,ns,1,0
83,399.86,ms,3,0
84,100.00,ms,3,1
85,137.54,us,3,0
86,1.01,us,2,0
87,499.99,ms,0,0
88,1.28,us,1,0
89,399.85,ms,3,0
90,100.00,ms,3,1
91,145.42,us,3,0
92,1.55,us,2,0
93,499.99,ms,0,0
94,1.78,us,1,0
95,399.84,ms,3,0
96,100.00,ms,3,1
97,153.34,us,3,0
98,2.04,us,2,0
99,499.99,ms,0,0
100,2.28,us,1,0
101,399.83,ms,3,0
102,100.00,ms,3,1
103,161.25,us,3,0
104,2.55,us,2,0
105,499.99,ms,0,0
106,2.79,us,1,0
107,399.82,ms,3,0
108,100.00,ms,3,1
109,169.20,us,3,0
110,3.05,us,2,0
111,499.99,ms,0,0
112,3.30,us,1,0
113,399.81,ms,3,0
114,100.00,ms,3,1
115,177.08,us,3,0
116,3.57,us,2,0
117,499.99,ms,0,0
118,3.78,us,1,0
119,399.81,ms,3,0
120,100.00,ms,3,1
121,185.03,us,3,0
122,4.02,us,2,0
123,499.99,ms,0,0
124,4.27,us,1,0
125,399.80,ms,3,0
126,100.00,ms,3,1
127,192.96,us,3,0
128,4.56,us,2,0
129,499.99,ms,0,0
130,4.79,us,1,0
131,399.79,ms,3,0
132,100.00,ms,3,1
133,120.96,us,3,0
134,8,ns,1,0
135,499.99,ms,0,0
136,240,ns,1,0
137,399.86,ms,3,0
138,100.00,ms,3,1
139,129.62,us,3,0
140,496,ns,2,0
141,499.99,ms,0,0
142,712,ns,1,0
143,399.86,ms,3,0
144,100.00,ms,3,1
145,137.54,us,3,0
146,1.01,us,2,0
147,499.99,ms,0,0
148,1.23,us,1,0
149,399.85,ms,3,0
150,100.00,ms,3,1
151,145.48,us,3,0
152,1.49,us,2,0
153,499.99,ms,0,0
154,1.75,us,1,0
155,399.84,ms,3,0
156,100.00,ms,3,1
157,153.40,us,3,0
158,1.98,us,2,0
159,499.99,ms,0,0
160,2.19,us,1,0
161,399.83,ms,3,0
162,100.00,ms,3,1
163,161.34,us,3,0
164,2.46,us,2,0
165,499.99,ms,0,0
166,2.70,us,1,0
167,399.82,ms,3,0
168,100.00,ms,3,1
169,169.26,us,3,0
