Sample#,SampleTime,units,arduino,gps
259,6.68,ms,3,1
260,40.96,us,3,0
261,8,ns,2,0
262,499.96,ms,0,0
263,264,ns,2,0
264,399.97,ms,3,0
265,100.00,ms,3,1
266,2.40,us,3,0
267,8,ns,1,0
268,500.00,ms,0,0
269,8,ns,1,0
270,399.97,ms,3,0
271,100.00,ms,3,1
272,17.48,us,3,0
273,32,ns,2,0
274,499.99,ms,0,0
275,16,ns,1,0
276,399.97,ms,3,0
277,100.00,ms,3,1
278,17.45,us,3,0
279,24,ns,2,0
280,499.99,ms,0,0
281,40,ns,1,0
282,399.97,ms,3,0
283,100.00,ms,3,1
284,17.41,us,3,0
285,48,ns,2,0
286,499.99,ms,0,0
287,64,ns,1,0
288,399.97,ms,3,0
289,100.00,ms,3,1
290,17.37,us,3,0
291,64,ns,2,0
292,499.99,ms,0,0
293,72,ns,1,0
294,399.97,ms,3,0
295,100.00,ms,3,1
296,17.34,us,3,0
297,120,ns,2,0
298,499.99,ms,0,0
299,80,ns,1,0
300,399.97,ms,3,0
301,100.00,ms,3,1
302,17.30,us,3,0
303,104,ns,2,0
304,499.99,ms,0,0
305,112,ns,1,0
306,399.97,ms,3,0
307,100.00,ms,3,1
308,17.26,us,3,0
309,120,ns,2,0
310,499.99,ms,0,0
311,136,ns,1,0
312,399.97,ms,3,0
313,100.00,ms,3,1
314,17.22,us,3,0
315,144,ns,2,0
316,499.99,ms,0,0
317,152,ns,1,0
318,399.97,ms,3,0
319,100.00,ms,3,1
320,40.95,us,3,0
321,499.96,ms,0,0
322,136,ns,1,0
323,399.97,ms,3,0
324,100.00,ms,3,1
325,2.40,us,3,0
326,40,ns,2,0
327,500.00,ms,0,0
328,48,ns,1,0
329,399.97,ms,3,0
330,100.00,ms,3,1
331,17.49,us,3,0
332,56,ns,2,0
333,499.99,ms,0,0
334,24,ns,1,0
335,399.97,ms,3,0
336,100.00,ms,3,1
337,17.49,us,3,0
338,48,ns,2,0
339,499.99,ms,0,0
340,96,ns,1,0
341,399.97,ms,3,0
342,100.00,ms,3,1
343,17.46,us,3,0
344,56,ns,2,0
345,499.99,ms,0,0
346,112,ns,1,0
347,399.97,ms,3,0
348,100.00,ms,3,1
349,17.41,us,3,0
350,104,ns,2,0
351,499.99,ms,0,0
352,136,ns,1,0
353,399.97,ms,3,0
354,100.00,ms,3,1
